ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8860720169280,"Memorial Upload Photo Heart Wings, A Big Piece Of My Heart Lives In Heaven Personalized Acrylic Plaque LPL30OCT23TT1",1,0,visible,,"<p style=""margin-left:0px;"">Our Acrylic Plaque is a perfect gift for your loved one at Christmas, Birthday, Anniversary, Wedding, Mother's Day, Valentine's Day, Teachers Day, and any Special Moments.</p><p style=""margin-left:0px;"">Made of acrylic plexiglass, environmentally friendly, pollution-free, and odorless.</p><p style=""margin-left:0px;"">Professional printing technology, clear pictures, no color difference, no color fading.</p><p style=""margin-left:0px;""><i><strong>Four Sizes Available:</strong></i> </p><p style=""margin-left:0px;"">S: 10x10x1.4cm</p><p style=""margin-left:0px;"">M: 11.5x11.5x1.4cm   </p><p style=""margin-left:0px;"">L: 12.5x12.5x1.4cm</p><p style=""margin-left:0px;"">XL: 15x15x1.4cm  </p><p style=""margin-left:0px;""><strong>NOTE:</strong></p><p style=""margin-left:0px;"">Actual color may be slightly different from the image due to different monitor and light effects.</p><p style=""margin-left:0px;"">Please allow 0.5-2 cm differences due to manual measurement.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL30OCT23TT1-ads-111.jpg?v=1704944126,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/LPL30OCT23TT1-ADS-4.jpg?v=1704944126,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/LPL30OCT23TT1-ADS-2.jpg?v=1704944126",,,,,,,,,0,Size,"S (10cm),M (11.5cm),L (12.5cm),XL (15cm)",0,1,S (10cm),,,,,,,,,,,
,variation,8860720169280-1,"Memorial Upload Photo Heart Wings, A Big Piece Of My Heart Lives In Heaven Personalized Acrylic Plaque LPL30OCT23TT1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,32.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/LPL30OCT23TT1-ADS-4.jpg?v=1704944126,,,8860720169280,,,,,,1,Size,S (10cm),,1,,,,,,,,,,,,
,variation,8860720169280-2,"Memorial Upload Photo Heart Wings, A Big Piece Of My Heart Lives In Heaven Personalized Acrylic Plaque LPL30OCT23TT1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/LPL30OCT23TT1-ADS-4.jpg?v=1704944126,,,8860720169280,,,,,,2,Size,M (11.5cm),,1,,,,,,,,,,,,
,variation,8860720169280-3,"Memorial Upload Photo Heart Wings, A Big Piece Of My Heart Lives In Heaven Personalized Acrylic Plaque LPL30OCT23TT1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/LPL30OCT23TT1-ADS-4.jpg?v=1704944126,,,8860720169280,,,,,,3,Size,L (12.5cm),,1,,,,,,,,,,,,
,variation,8860720169280-4,"Memorial Upload Photo Heart Wings, A Big Piece Of My Heart Lives In Heaven Personalized Acrylic Plaque LPL30OCT23TT1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,38.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/LPL30OCT23TT1-ADS-4.jpg?v=1704944126,,,8860720169280,,,,,,4,Size,XL (15cm),,1,,,,,,,,,,,,
,variable,8685057311040,A Big Piece Of My Heart Lives In Heaven  Cardinal Memory Personalized Heart Acrylic Plaque KNV28APR22VA1,1,0,visible,,"<p style=""margin-left:0px;"">Our Heart Shaped Acrylic Plaque is a perfect gift for your loved one at Christmas, Birthday, Anniversary, Wedding, Mother's Day, Valentine's Day, Teachers Day, and any Special Moments.</p><p style=""margin-left:0px;"">Made of acrylic plexiglass, environmentally friendly, pollution-free, and odorless.</p><p style=""margin-left:0px;"">Professional printing technology, clear pictures, no color difference, no color fading.</p><p style=""margin-left:0px;""><i><strong>Four Sizes Available:</strong></i> </p><p style=""margin-left:0px;"">S: 10x10x1.4cm</p><p style=""margin-left:0px;"">M: 11.5x11.5x1.4cm   </p><p style=""margin-left:0px;"">L: 12.5x12.5x1.4cm</p><p style=""margin-left:0px;"">XL: 15x15x1.4cm  </p><p style=""margin-left:0px;"">Production time: 5-7 days</p><p style=""margin-left:0px;"">Shipping Time: 15-20 days</p><p style=""margin-left:0px;""><strong>NOTE:</strong></p><p style=""margin-left:0px;"">Actual color may be slightly different from the image due to different monitor and light effects.</p><p style=""margin-left:0px;"">Please allow 0.5-2 cm differences due to manual measurement.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-XW1K-1651200270251.jpg?v=1702348620,,,,,,,,,0,Size,"S (10cm),M (11.5cm),L (12.5cm),XL (15cm)",0,1,S (10cm),,,,,,,,,,,
,variation,8685057311040-1,A Big Piece Of My Heart Lives In Heaven  Cardinal Memory Personalized Heart Acrylic Plaque KNV28APR22VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,32.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-XW1K-1651200270251.jpg?v=1702348620,,,8685057311040,,,,,,1,Size,S (10cm),,1,,,,,,,,,,,,
,variation,8685057311040-2,A Big Piece Of My Heart Lives In Heaven  Cardinal Memory Personalized Heart Acrylic Plaque KNV28APR22VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-XW1K-1651200270251.jpg?v=1702348620,,,8685057311040,,,,,,2,Size,M (11.5cm),,1,,,,,,,,,,,,
,variation,8685057311040-3,A Big Piece Of My Heart Lives In Heaven  Cardinal Memory Personalized Heart Acrylic Plaque KNV28APR22VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-XW1K-1651200270251.jpg?v=1702348620,,,8685057311040,,,,,,3,Size,L (12.5cm),,1,,,,,,,,,,,,
,variation,8685057311040-4,A Big Piece Of My Heart Lives In Heaven  Cardinal Memory Personalized Heart Acrylic Plaque KNV28APR22VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,38.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-XW1K-1651200270251.jpg?v=1702348620,,,8685057311040,,,,,,4,Size,XL (15cm),,1,,,,,,,,,,,,
,variable,8685960659264,Sparkling Christmas Snowman Papa Nana Dad Mom Heart Kids In Snowball Personalized Acrylic Plaque LPL18AUG23TP1,1,0,visible,,"<p style=""margin-left:0px;"">Our Acrylic Plaque is a perfect gift for your loved one at Christmas, Birthday, Anniversary, Wedding, Mother's Day, Valentine's Day, Teachers Day, and any Special Moments.</p><p style=""margin-left:0px;"">Made of acrylic plexiglass, environmentally friendly, pollution-free, and odorless.</p><p style=""margin-left:0px;"">Professional printing technology, clear pictures, no color difference, no color fading.</p><p style=""margin-left:0px;""><i><strong>Four Sizes Available:</strong></i> </p><p style=""margin-left:0px;"">S: 10x10x1.4cm</p><p style=""margin-left:0px;"">M: 11.5x11.5x1.4cm   </p><p style=""margin-left:0px;"">L: 12.5x12.5x1.4cm</p><p style=""margin-left:0px;"">XL: 15x15x1.4cm  </p><p style=""margin-left:0px;""><strong>NOTE:</strong></p><p style=""margin-left:0px;"">Actual color may be slightly different from the image due to different monitor and light effects.</p><p style=""margin-left:0px;"">Please allow 0.5-2 cm differences due to manual measurement.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL18AUG23TP1-ads-1.jpg?v=1694759254,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-2__6_6d0715a4-0b57-499b-80f4-9985d5d4bfeb.jpg?v=1694759255,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3__6_9a740dd4-6e1d-4bf0-b9b9-9bb98bec55cf.jpg?v=1694759255,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__6_de8c67ed-104a-41e8-a50f-dbe605d2d124.jpg?v=1694759255",,,,,,,,,0,Size,"S (10cm),M (11.5cm),L (12.5cm),XL (15cm)",0,1,S (10cm),,,,,,,,,,,
,variation,8685960659264-1,Sparkling Christmas Snowman Papa Nana Dad Mom Heart Kids In Snowball Personalized Acrylic Plaque LPL18AUG23TP1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,32.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL18AUG23TP1-ads-1.jpg?v=1694759254,,,8685960659264,,,,,,1,Size,S (10cm),,1,,,,,,,,,,,,
,variation,8685960659264-2,Sparkling Christmas Snowman Papa Nana Dad Mom Heart Kids In Snowball Personalized Acrylic Plaque LPL18AUG23TP1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL18AUG23TP1-ads-1.jpg?v=1694759254,,,8685960659264,,,,,,2,Size,M (11.5cm),,1,,,,,,,,,,,,
,variation,8685960659264-3,Sparkling Christmas Snowman Papa Nana Dad Mom Heart Kids In Snowball Personalized Acrylic Plaque LPL18AUG23TP1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL18AUG23TP1-ads-1.jpg?v=1694759254,,,8685960659264,,,,,,3,Size,L (12.5cm),,1,,,,,,,,,,,,
,variation,8685960659264-4,Sparkling Christmas Snowman Papa Nana Dad Mom Heart Kids In Snowball Personalized Acrylic Plaque LPL18AUG23TP1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,38.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL18AUG23TP1-ads-1.jpg?v=1694759254,,,8685960659264,,,,,,4,Size,XL (15cm),,1,,,,,,,,,,,,
,variable,8685741801792,"Personalized Nurse Gift, gift for Nurse, Nurse graduation gift, Nurse retirement gift, nurse appreciation Heart Shape Acrylic Plaque HTN12JUN23XT2",1,0,visible,,"<p style=""margin-left:0px;"">Our Acrylic Plaque is a perfect gift for your loved one at Christmas, Birthday, Anniversary, Wedding, Mother's Day, Valentine's Day, Teachers Day, and any Special Moments.</p><p style=""margin-left:0px;"">Made of acrylic plexiglass, environmentally friendly, pollution-free, and odorless.</p><p style=""margin-left:0px;"">Professional printing technology, clear pictures, no color difference, no color fading.</p><p style=""margin-left:0px;""><i><strong>Four Sizes Available:</strong></i> </p><p style=""margin-left:0px;"">S: 10x10x1.4cm</p><p style=""margin-left:0px;"">M: 11.5x11.5x1.4cm   </p><p style=""margin-left:0px;"">L: 12.5x12.5x1.4cm</p><p style=""margin-left:0px;"">XL: 15x15x1.4cm  </p><p style=""margin-left:0px;""><strong>NOTE:</strong></p><p style=""margin-left:0px;"">Actual color may be slightly different from the image due to different monitor and light effects.</p><p style=""margin-left:0px;"">Please allow 0.5-2 cm differences due to manual measurement.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_b7c75650-8548-41a2-bab2-882048dc3a87.jpg?v=1717917181,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1_78413285-3ad8-4830-893f-e760a8f21dd7.jpg?v=1717911253,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-2_88ed06a9-bcbb-48ba-912a-a913be4780e4.jpg?v=1717920624,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-4_62c9bb3a-cc9e-4b6e-8c03-dd0d82fe091b.jpg?v=1717914968,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-5_00bf36b4-72e7-4398-9d04-d5eda0cfc310.jpg?v=1717920131,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-6_adb4a9af-2d8a-40a1-95f6-6c5e2e885394.jpg?v=1717921684",,,,,,,,,0,Size,"S (10cm),M (11.5cm),L (12.5cm),XL (15cm)",0,1,S (10cm),,,,,,,,,,,
,variation,8685741801792-1,"Personalized Nurse Gift, gift for Nurse, Nurse graduation gift, Nurse retirement gift, nurse appreciation Heart Shape Acrylic Plaque HTN12JUN23XT2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,32.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_b7c75650-8548-41a2-bab2-882048dc3a87.jpg?v=1717917181,,,8685741801792,,,,,,1,Size,S (10cm),,1,,,,,,,,,,,,
,variation,8685741801792-2,"Personalized Nurse Gift, gift for Nurse, Nurse graduation gift, Nurse retirement gift, nurse appreciation Heart Shape Acrylic Plaque HTN12JUN23XT2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_b7c75650-8548-41a2-bab2-882048dc3a87.jpg?v=1717917181,,,8685741801792,,,,,,2,Size,M (11.5cm),,1,,,,,,,,,,,,
,variation,8685741801792-3,"Personalized Nurse Gift, gift for Nurse, Nurse graduation gift, Nurse retirement gift, nurse appreciation Heart Shape Acrylic Plaque HTN12JUN23XT2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_b7c75650-8548-41a2-bab2-882048dc3a87.jpg?v=1717917181,,,8685741801792,,,,,,3,Size,L (12.5cm),,1,,,,,,,,,,,,
