ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,9258420371776,Grandpa Papa Daddy Fist Bump Fathers Day Family Personalized Cap CTL26APR24TT1,1,0,visible,,"<p style=""margin-left: 0px;"">All of our Classic Caps are custom-made-to-order and handcrafted to the highest quality standards.</p>
<ul>
<li>Add style and personality to your hat collection with a custom printed classic cap!</li>
<li>Constructed with 100% premium polyester that’s lightweight for maximum comfort and breathability.</li>
<li>Classic caps offer great protection from the sun and are perfect for any outdoor activity!</li>
<li>Universal Fit: One size fits most with an adjustable snapback closure.<br><br>
</li>
<li>The Box is made of carton</li>
</ul>
<p style=""margin-left: 0px;"">Please allow 7-9 days to receive a tracking number while your order is hand-crafted, packaged and shipped from our facility. Estimated shipping time is 2-4 weeks.</p>
<figure class=""image""><img src=""https://i.postimg.cc/bqrs9NBH/DOUCHE-Classic-Hats.jpg""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/CTL26APR24TT1-ads.jpg?v=1716540831,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1_1_7b05ddc2-791b-4f14-906a-49021e10af93.jpg?v=1716540831,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/CTL26APR24TT1-ads-3.jpg?v=1716540831,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/CTL26APR24TT1-ads-14.jpg?v=1716540831,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/CTL26APR24TT1-ads-2.jpg?v=1716540831,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/CTL26APR24TT1-ads-15.jpg?v=1716540831,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/CTL26APR24TT1-ads-4jpg.jpg?v=1716540831",,,,,,,,,0,Style,CLASSIC CAP,0,1,CLASSIC CAP,Size,Universal Fit,0,1,Universal Fit,Option,"Without Box,With Box",0,1,Without Box,
,variation,9258420371776-1,Grandpa Papa Daddy Fist Bump Fathers Day Family Personalized Cap CTL26APR24TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.95,,,,,,,9258420371776,,,,,,1,Style,CLASSIC CAP,,1,,Size,Universal Fit,,1,,Option,Without Box,,1,,
,variation,9258420371776-2,Grandpa Papa Daddy Fist Bump Fathers Day Family Personalized Cap CTL26APR24TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,,,,9258420371776,,,,,,2,Style,CLASSIC CAP,,1,,Size,Universal Fit,,1,,Option,With Box,,1,,
,variable,8685029753152,Horse Love Leather Pattern Printing Personalized Cap DDL20APR22CT3,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <p style=""margin-left:0px;"">All of our Classic Caps are custom-made-to-order and handcrafted to the highest quality standards.</p><ul>
<li>Add style and personality to your hat collection with a custom printed classic cap!</li>
<li>Constructed with 100% premium polyester that’s lightweight for maximum comfort and breathability.</li>
<li>Classic caps offer great protection from the sun and are perfect for any outdoor activity!</li>
<li>Universal Fit: One size fits most with an adjustable snapback closure.</li>
</ul><p style=""margin-left:0px;"">Please allow 7-9 days to receive a tracking number while your order is hand-crafted, packaged and shipped from our facility. Estimated shipping time is 2-4 weeks.</p><figure class=""image""><img src=""https://i.postimg.cc/bqrs9NBH/DOUCHE-Classic-Hats.jpg""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-P9MC-1650526014603.jpg?v=1702353274,,,,,,,,,0,Size,UNIVERSAL FIT,0,1,UNIVERSAL FIT,,,,,,,,,,,
,variation,8685029753152-1,Horse Love Leather Pattern Printing Personalized Cap DDL20APR22CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-P9MC-1650526014603.jpg?v=1702353274,,,8685029753152,,,,,,1,Size,UNIVERSAL FIT,,1,,,,,,,,,,,,
,variable,9258154983744,"Outline Fist Bump Daddy Grandpa Personalized Classic Cap, Father's Day Gift For Dad, For Grandpa, For Husband NVL25APR24TP2",1,0,visible,,"<p style=""margin-left:0px;"">All of our Classic Caps are custom-made-to-order and handcrafted to the highest quality standards.</p><ul>
<li>Add style and personality to your hat collection with a custom printed classic cap!</li>
<li>Constructed with 100% premium polyester that’s lightweight for maximum comfort and breathability.</li>
<li>Classic caps offer great protection from the sun and are perfect for any outdoor activity!</li>
<li>Universal Fit: One size fits most with an adjustable snapback closure.</li>
</ul><p style=""margin-left:0px;"">Please allow 7-9 days to receive a tracking number while your order is hand-crafted, packaged and shipped from our facility. Estimated shipping time is 2-4 weeks.</p><figure class=""image""><img src=""https://i.postimg.cc/bqrs9NBH/DOUCHE-Classic-Hats.jpg""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL25APR24TP2-update-ads-4.jpg?v=1716280337,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL25APR24TP2-ads-3_917e2933-ada8-4cec-9759-f4b5543aed13.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL25APR24TP2-update-ads-2.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1_7_e2ee61b3-8e68-461e-b552-538a2af2fca9.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_10_53a2500c-2c1b-4a7d-a419-7e04ad2327a4.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-4_5.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1_8.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-2_7_52547c8a-e959-491d-ab23-4866f50c4286.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_11.jpg?v=1716392922,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-4_6.jpg?v=1716392922",,,,,,,,,0,Style,CLASSIC CAP,0,1,CLASSIC CAP,Size,Universal Fit,0,1,Universal Fit,,,,,,
,variation,9258154983744-1,"Outline Fist Bump Daddy Grandpa Personalized Classic Cap, Father's Day Gift For Dad, For Grandpa, For Husband NVL25APR24TP2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL25APR24TP2-update-ads-4.jpg?v=1716280337,,,9258154983744,,,,,,1,Style,CLASSIC CAP,,1,,Size,Universal Fit,,1,,,,,,,
,variable,8685800358208,Deer Hunting Camo Personalized Classic Cap NVL27JUN23TP3,1,0,visible,,"<p style=""margin-left:0px;"">All of our Classic Caps are custom-made-to-order and handcrafted to the highest quality standards.</p><ul>
<li>Add style and personality to your hat collection with a custom printed classic cap!</li>
<li>Constructed with 100% premium polyester that’s lightweight for maximum comfort and breathability.</li>
<li>Classic caps offer great protection from the sun and are perfect for any outdoor activity!</li>
<li>Universal Fit: One size fits most with an adjustable snapback closure.</li>
</ul><p style=""margin-left:0px;"">Please allow 7-9 days to receive a tracking number while your order is hand-crafted, packaged and shipped from our facility. Estimated shipping time is 2-4 weeks.</p><figure class=""image""><img src=""https://i.postimg.cc/bqrs9NBH/DOUCHE-Classic-Hats.jpg""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL27JUN23TP3-ads-1.jpg?v=1717909943,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1_1dfec278-5260-4e0d-a9cc-7e31efcfbbc2.jpg?v=1717927832,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-2_4aee91c5-5789-4163-ade5-17ba32ee5d95.jpg?v=1717921526,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_3c28066e-86b9-45d4-bbba-04eced095e14.jpg?v=1717908467",,,,,,,,,0,Size,UNIVERSAL FIT,0,1,UNIVERSAL FIT,,,,,,,,,,,
,variation,8685800358208-1,Deer Hunting Camo Personalized Classic Cap NVL27JUN23TP3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL27JUN23TP3-ads-1.jpg?v=1717909943,,,8685800358208,,,,,,1,Size,UNIVERSAL FIT,,1,,,,,,,,,,,,
,variable,9285377950016,Hibicus Flower Love Cow Breed Highland Holstein Cow Cattle Farm Personalized Cap LPL08MAY24NY2,1,0,visible,,"<p style=""margin-left:0px;"">All of our Classic Caps are custom-made-to-order and handcrafted to the highest quality standards.</p><ul>
<li>Add style and personality to your hat collection with a custom printed classic cap!</li>
<li>Constructed with 100% premium polyester that’s lightweight for maximum comfort and breathability.</li>
<li>Classic caps offer great protection from the sun and are perfect for any outdoor activity!</li>
<li>Universal Fit: One size fits most with an adjustable snapback closure.</li>
</ul><p style=""margin-left:0px;"">Please allow 7-9 days to receive a tracking number while your order is hand-crafted, packaged and shipped from our facility. Estimated shipping time is 2-4 weeks.</p><figure class=""image""><img src=""https://i.postimg.cc/bqrs9NBH/DOUCHE-Classic-Hats.jpg""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL08MAY24NY2-ads.jpg?v=1715154995,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads5_d0df39e0-dd88-4a1e-8fef-92d837460884.jpg?v=1715154995,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads2__1_717fb7df-a3ac-45d6-aef9-2db4bc35aa11.jpg?v=1715154995,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads3__1_3f2d0ef4-6ae7-4a12-a1ea-fdfb9625d99c.jpg?v=1715154995",,,,,,,,,0,Style,CLASSIC CAP,0,1,CLASSIC CAP,Size,Universal Fit,0,1,Universal Fit,Package,"Without Box,With Box",0,1,Without Box,
