ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684362301760,Personalized Beware Of The Dog Don'T Trust The Cat Either Doormat Full Printing,1,0,visible,,"<p>ABOUT OUR DOORMATS : <br><br>Material: durable heat-resistant non-woven fabric top and neoprene rubber non-slip backing.<br>Indoor or outdoor use. Doormat is widely used for indoor front welcome mat, kitchen rug, floor mat, living room and so on.<br>Dry wet feet, grab dirt, dust, and grime, keeping floors clean and dry.<br>Easy clean. Use a damp cloth or sponge and mild detergent to clean dirt. Machine washing is not recommended.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PM-DCT-1-ads.jpg?v=1694744313,,,,,,,,,0,Size,"Small (40 X 60 CM),Medium (60 X 80 CM)",0,1,Small (40 X 60 CM),,,,,,,,,,,
,variation,8684362301760-1,Personalized Beware Of The Dog Don'T Trust The Cat Either Doormat Full Printing,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,44.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PM-DCT-1-ads.jpg?v=1694744313,,,8684362301760,,,,,,1,Size,Small (40 X 60 CM),,1,,,,,,,,,,,,
,variation,8684362301760-2,Personalized Beware Of The Dog Don'T Trust The Cat Either Doormat Full Printing,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PM-DCT-1-ads.jpg?v=1694744313,,,8684362301760,,,,,,2,Size,Medium (60 X 80 CM),,1,,,,,,,,,,,,
,variable,8684362498368,Personalized In Dog Beers I'Ve Only Had One Doormat Full Printing,1,0,visible,,"<p>ABOUT OUR DOORMATS : <br><br>Material: durable heat-resistant non-woven fabric top and neoprene rubber non-slip backing.<br>Indoor or outdoor use. Doormat is widely used for indoor front welcome mat, kitchen rug, floor mat, living room and so on.<br>Dry wet feet, grab dirt, dust, and grime, keeping floors clean and dry.<br>Easy clean. Use a damp cloth or sponge and mild detergent to clean dirt. Machine washing is not recommended.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PM-DCT-2-ads_1.jpg?v=1694751245,,,,,,,,,0,Size,"Small (40 X 60 CM),Medium (60 X 80 CM)",0,1,Small (40 X 60 CM),,,,,,,,,,,
,variation,8684362498368-1,Personalized In Dog Beers I'Ve Only Had One Doormat Full Printing,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PM-DCT-2-ads_1.jpg?v=1694751245,,,8684362498368,,,,,,1,Size,Small (40 X 60 CM),,1,,,,,,,,,,,,
,variation,8684362498368-2,Personalized In Dog Beers I'Ve Only Had One Doormat Full Printing,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PM-DCT-2-ads_1.jpg?v=1694751245,,,8684362498368,,,,,,2,Size,Medium (60 X 80 CM),,1,,,,,,,,,,,,
,variable,8684364497216,Personalized Dog Breed Happiness Doormat Full Printing,1,0,visible,,"<p>ABOUT OUR DOORMATS : <br><br>Material: durable heat-resistant non-woven fabric top and neoprene rubber non-slip backing.<br>Indoor or outdoor use. Doormat is widely used for indoor front welcome mat, kitchen rug, floor mat, living room and so on.<br>Dry wet feet, grab dirt, dust, and grime, keeping floors clean and dry.<br>Easy clean. Use a damp cloth or sponge and mild detergent to clean dirt. Machine washing is not recommended.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/DHL-DNQ007-ads.jpg?v=1694756889,,,,,,,,,0,Size,"Small (40 X 60 CM),Medium (60 X 80 CM)",0,1,Small (40 X 60 CM),,,,,,,,,,,
,variation,8684364497216-1,Personalized Dog Breed Happiness Doormat Full Printing,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/DHL-DNQ007-ads.jpg?v=1694756889,,,8684364497216,,,,,,1,Size,Small (40 X 60 CM),,1,,,,,,,,,,,,
,variation,8684364497216-2,Personalized Dog Breed Happiness Doormat Full Printing,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/DHL-DNQ007-ads.jpg?v=1694756889,,,8684364497216,,,,,,2,Size,Medium (60 X 80 CM),,1,,,,,,,,,,,,
,variable,8684365414720,Money Can Buy A Lot Of Things Cats Doormat Full Printing Nvl-Ddd001,1,0,visible,,"<p>ABOUT OUR DOORMATS : <br><br>Material: durable heat-resistant non-woven fabric top and neoprene rubber non-slip backing.<br>Indoor or outdoor use. Doormat is widely used for indoor front welcome mat, kitchen rug, floor mat, living room and so on.<br>Dry wet feet, grab dirt, dust, and grime, keeping floors clean and dry.<br>Easy clean. Use a damp cloth or sponge and mild detergent to clean dirt. Machine washing is not recommended.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL-DDD001-ads_1.jpg?v=1694752270,,,,,,,,,0,Size,"Small (40 X 60 CM),Medium (60 X 80 CM)",0,1,Small (40 X 60 CM),,,,,,,,,,,
,variation,8684365414720-1,Money Can Buy A Lot Of Things Cats Doormat Full Printing Nvl-Ddd001,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL-DDD001-ads_1.jpg?v=1694752270,,,8684365414720,,,,,,1,Size,Small (40 X 60 CM),,1,,,,,,,,,,,,
,variation,8684365414720-2,Money Can Buy A Lot Of Things Cats Doormat Full Printing Nvl-Ddd001,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL-DDD001-ads_1.jpg?v=1694752270,,,8684365414720,,,,,,2,Size,Medium (60 X 80 CM),,1,,,,,,,,,,,,
,variable,8684436193600,Personalized Our Kids Have Paws Doormat Htt-Dtt006,1,0,visible,,"<p>ABOUT OUR DOORMATS : <br><br>Material: durable heat-resistant non-woven fabric top and neoprene rubber non-slip backing.<br>Indoor or outdoor use. Doormat is widely used for indoor front welcome mat, kitchen rug, floor mat, living room and so on.<br>Dry wet feet, grab dirt, dust, and grime, keeping floors clean and dry.<br>Easy clean. Use a damp cloth or sponge and mild detergent to clean dirt. Machine washing is not recommended.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-DTT006-ADS.jpg?v=1694744784,,,,,,,,,0,Size,"Small (40 X 60 CM),Medium (60 X 80 CM)",0,1,Small (40 X 60 CM),,,,,,,,,,,
,variation,8684436193600-1,Personalized Our Kids Have Paws Doormat Htt-Dtt006,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-DTT006-ADS.jpg?v=1694744784,,,8684436193600,,,,,,1,Size,Small (40 X 60 CM),,1,,,,,,,,,,,,
,variation,8684436193600-2,Personalized Our Kids Have Paws Doormat Htt-Dtt006,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-DTT006-ADS.jpg?v=1694744784,,,8684436193600,,,,,,2,Size,Medium (60 X 80 CM),,1,,,,,,,,,,,,
,variable,8684436586816,Personalized Don'T Mess With Dogs Doormat Full Printing Tdh | Hqt-Dmq003,1,0,visible,,"<p>ABOUT OUR DOORMATS : <br><br>Material: durable heat-resistant non-woven fabric top and neoprene rubber non-slip backing.<br>Indoor or outdoor use. Doormat is widely used for indoor front welcome mat, kitchen rug, floor mat, living room and so on.<br>Dry wet feet, grab dirt, dust, and grime, keeping floors clean and dry.<br>Easy clean. Use a damp cloth or sponge and mild detergent to clean dirt. Machine washing is not recommended.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/hqt-dmq003-ads.jpg?v=1694748646,,,,,,,,,0,Size,"Small (40 X 60 CM),Medium (60 X 80 CM)",0,1,Small (40 X 60 CM),,,,,,,,,,,
