ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8685032833344,Colorful Grandma- Mom Gnome Loves Sweet Heart Kids Custom Acrylic Keychain LPL21APR22VA1,1,0,visible,,"<p style=""margin-left: 0px;"">With Humancustom, you can easily create customized keychains to match your personal style or gift photo keychains to your family and friends</p>
<p style=""margin-left: 0px;""><strong>Product details:</strong></p>
<ul>
<li>
<strong>Size:</strong> 6.5 cm diameter and 3 mm thickness.</li>
<li>
<strong>Material: </strong>High-quality acrylic</li>
<li>
<strong>Feature:</strong> One-sided design.</li>
<li>
<strong>Printing technique:</strong> Dye sublimation print.</li>
</ul>
<p style=""margin-left: 0px;""><strong>Customization:</strong></p>
<ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul>
<p style=""margin-left: 0px;""><strong>Please note:</strong> Due to the difference in monitor and light effect, the actual color and size of the item may be slightly different from the visual image.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-S3S4-1650525476927.jpg?v=1702359447,,,,,,,,,0,Size,6.5x6.5 cm,0,1,6.5x6.5 cm,,,,,,,,,,,
,variation,8685032833344-1,Colorful Grandma- Mom Gnome Loves Sweet Heart Kids Custom Acrylic Keychain LPL21APR22VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,19.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-S3S4-1650525476927.jpg?v=1702359447,,,8685032833344,,,,,,1,Size,6.5x6.5 cm,,1,,,,,,,,,,,,
,variable,8685077496128,"Grandpa, Papa, Daddy Hands Print Personalized Acrylic Keychain KNV17MAY22NY1",1,0,visible,,"<p style=""margin-left:0px;"">With Humancustom, you can easily create customized keychains to match your personal style or gift photo keychains to your family and friends</p><p style=""margin-left:0px;""><strong>Product details:</strong></p><ul>
<li>
<strong>Size:</strong> 4.5 cm diameter and 3 mm thickness.</li>
<li>
<strong>Material: </strong>Made from lightweight mica acrylic, easy for hanging.</li>
<li>
<strong>Feature:</strong> One-sided design.</li>
<li>
<strong>Printing technique:</strong> Dye sublimation print.</li>
</ul><p style=""margin-left:0px;""><strong>Customization:</strong></p><ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul><p style=""margin-left:0px;""><strong>Please note:</strong> Due to the difference in monitor and light effect, the actual color and size of the item may be slightly different from the visual image.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/KNV17MAY22NY1-ads2.jpg?v=1702361075,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/KNV17MAY22NY1-ads3.jpg?v=1702351952",,,,,,,,,0,Size,4.5x4.5 cm,0,1,4.5x4.5 cm,Package,"1 Keychain,Set of 2,Set of 3,Set of 5",0,1,1 Keychain,,,,,,
,variation,8685077496128-1,"Grandpa, Papa, Daddy Hands Print Personalized Acrylic Keychain KNV17MAY22NY1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,19.95,,,,,,,8685077496128,,,,,,1,Size,4.5x4.5 cm,,1,,Package,1 Keychain,,1,,,,,,,
,variation,8685077496128-2,"Grandpa, Papa, Daddy Hands Print Personalized Acrylic Keychain KNV17MAY22NY1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,,,,8685077496128,,,,,,2,Size,4.5x4.5 cm,,1,,Package,Set of 2,,1,,,,,,,
,variation,8685077496128-3,"Grandpa, Papa, Daddy Hands Print Personalized Acrylic Keychain KNV17MAY22NY1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,44.95,,,,,,,8685077496128,,,,,,3,Size,4.5x4.5 cm,,1,,Package,Set of 3,,1,,,,,,,
,variation,8685077496128-4,"Grandpa, Papa, Daddy Hands Print Personalized Acrylic Keychain KNV17MAY22NY1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,84.95,,,,,,,8685077496128,,,,,,4,Size,4.5x4.5 cm,,1,,Package,Set of 5,,1,,,,,,,
,variable,8685085983040,Grandma- Mom Violet Heart Kids Mother's Day Personalized Acrylic Keychain DDL18MAY22TT3,1,0,visible,,"<p style=""margin-left: 0px;"">With Humancustom, you can easily create customized keychains to match your personal style or gift photo keychains to your family and friends</p>
<p style=""margin-left: 0px;""><strong>Product details:</strong></p>
<ul>
<li>
<strong>Size:</strong> 4.5 cm diameter and 3 mm thickness.</li>
<li>
<strong>Material: </strong>Made from lightweight mica acrylic, easy for hanging.</li>
<li>
<strong>Feature:</strong> One-sided design.</li>
<li>
<strong>Printing technique:</strong> Dye sublimation print.</li>
</ul>
<p style=""margin-left: 0px;""><strong>Customization:</strong></p>
<ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul>
<p style=""margin-left: 0px;""><strong>Please note:</strong> Due to the difference in monitor and light effect, the actual color and size of the item may be slightly different from the visual image.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-VEUP-1653011940916.jpg?v=1702350690,,,,,,,,,0,Size,4.5x4.5 cm,0,1,4.5x4.5 cm,,,,,,,,,,,
,variation,8685085983040-1,Grandma- Mom Violet Heart Kids Mother's Day Personalized Acrylic Keychain DDL18MAY22TT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,19.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-VEUP-1653011940916.jpg?v=1702350690,,,8685085983040,,,,,,1,Size,4.5x4.5 cm,,1,,,,,,,,,,,,
,variable,8685110722880,Sparkling Dog Mom- Dog Dad Puppy Pet Dogs Lover Custom Breed Personalized Acrylic Keychain NVL02JUN22CT3,1,0,visible,,"<p>With Humancustom, you can easily create customized keychains to match your personal style or gift photo keychains to your family and friends</p>
<p><strong>Product details:</strong></p>
<ul>
<li>
<strong>Size:</strong> 6.5 cm diameter and 3 mm thickness.</li>
<li>
<strong>Material: </strong>High-quality acrylic</li>
<li>
<strong>Feature:</strong> One-sided design.</li>
<li>
<strong>Printing technique:</strong> Dye sublimation print.</li>
</ul>
<p><strong>Customization:</strong></p>
<ul>
<li>Please fill in the required fields and double-check your spelling before purchasing.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>Click ""<strong>Preview Your Personalization</strong>"" to get a glimpse of your beautiful creation at the final step.</li>
</ul>
<p><strong>Please note:</strong> Due to the difference in monitor and light effect, the actual color and size of the item may be slightly different from the visual image.</p>
<ul></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2022-9S6I-1654160081341.jpg?v=1702359398,,,,,,,,,0,Size,6.5x6.5 cm,0,1,6.5x6.5 cm,,,,,,,,,,,
