ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684581257536,Personalized Catio Bar & Grill Cats Proudly Serving Whatever You Brought Printed Metal Sign,1,0,visible,,"<p><span>﻿Proudly Serving Whatever You Brought.</span></p>
<p><span><strong>See more products for you here:</strong> </span><a title=""Personalized Bar &amp; Grill Collection"" href=""https://humancustom.com/pht"">https://humancustom.com/pht</a></p>
<p><strong>Description:</strong></p>
<ul>
<li>Full colour print on high quality 0.5mm aluminium which produces a strong and vibrant finish. You can install these funny signs anywhere indoors or outdoors.</li>
<li>Signs are drilled top and bottom for easy installation.</li>
<li>All of our products are handmade. Whether as a gift for friends and family, or to spruce up the home, office, garage, or garden shed a Print Crafted gift is the perfect choice. We specialise in vintage, retro, shabby chic, and decorative prints.</li>
<li>Personalized: our products can be personalized with a name, or special message at no extra cost.</li>
<li>Note: This item is recommended for indoor, or shaded outdoor area, use only. Variation in monitor calibrations may display the colours slightly differently to the physical product.</li>
<li>Material: Stainless Steel</li>
</ul>
<p><strong>Processing time:</strong> 3 – 5 days</p>
<p><strong>Shipping time:</strong><span> 10</span> – 15 days (US)</p>
<p><strong>Personalization:</strong></p>
<ul>
<li>Please fill in the required fields and carefully double-check the spelling.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>The last step, click ""Preview Your Personalization"" to get a glimpse of the wonderful creation you've made.</li>
</ul>
<p><strong>Don’t miss out, SHOP NOW!</strong></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/catiobar.jpg?v=1697168851,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads3hoatcat.jpg?v=1697176282,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads2hoatcat.jpg?v=1697170301",,,,,,,,,0,Size,"12 x 8 in,17.5 x 12.5 in - Best Seller",0,1,12 x 8 in,,,,,,,,,,,
,variation,8684581257536-1,Personalized Catio Bar & Grill Cats Proudly Serving Whatever You Brought Printed Metal Sign,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/catiobar.jpg?v=1697168851,,,8684581257536,,,,,,1,Size,12 x 8 in,,1,,,,,,,,,,,,
,variation,8684581257536-2,Personalized Catio Bar & Grill Cats Proudly Serving Whatever You Brought Printed Metal Sign,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/catiobar.jpg?v=1697168851,,,8684581257536,,,,,,2,Size,17.5 x 12.5 in - Best Seller,,1,,,,,,,,,,,,
,variable,8684588204352,Personalized Custom Dogs Pool Bar & Grill Funny Lifeguard Is Drunk Again Printed Metal Sign Pht-29Tt003,1,0,visible,,"<p><meta charset=""utf-8""><span><strong>See more products for you here:</strong> </span><a href=""https://humancustom.com/pht"" title=""Personalized Bar &amp; Grill Collection"">https://humancustom.com/pht</a></p>
<ul>
<li>Full colour print on high quality 0.5mm aluminium which produces a strong and vibrant finish. You can install these funny signs anywhere indoors or outdoors.</li>
<li>Signs are drilled top and bottom for easy installation.</li>
<li>All of our products are handmade. Whether as a gift for friends and family, or to spruce up the home, office, garage, or garden shed a Print Crafted gift is the perfect choice. We specialise in vintage, retro, shabby chic, and decorative prints.</li>
<li>Personalized: our products can be personalized with a name, or special message at no extra cost.</li>
<li>Note: This item is recommended for indoor, or shaded outdoor area, use only. Variation in monitor calibrations may display the colours slightly differently to the physical product.</li>
<li>Material: Stainless Steel</li>
</ul>
<p><strong>Size:</strong></p>
<ul>
<li>30 x 20 cm (12 x 8 inches)</li>
<li>45 x 30 cm (17.71 x 12 inches)</li>
</ul>
<p><strong>Processing time:</strong> 3 – 4 days</p>
<p><strong>Shipping time:</strong><span> </span>5 – 15 days (US)</p>
<p><strong>Personalization:</strong></p>
<ul>
<li>Please fill in the required fields and carefully double-check the spelling.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>The last step, click ""Preview Your Personalization"" to get a glimpse of the wonderful creation you've made.</li>
</ul>
<p><strong>Don’t miss out, SHOP NOW!</strong></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-29TT003-ADS.jpg?v=1697172687,,,,,,,,,0,Size,"17.5 x 12.5 in - Best Seller,12 x 8 in",0,1,17.5 x 12.5 in - Best Seller,,,,,,,,,,,
,variation,8684588204352-1,Personalized Custom Dogs Pool Bar & Grill Funny Lifeguard Is Drunk Again Printed Metal Sign Pht-29Tt003,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-29TT003-ADS.jpg?v=1697172687,,,8684588204352,,,,,,1,Size,17.5 x 12.5 in - Best Seller,,1,,,,,,,,,,,,
,variation,8684588204352-2,Personalized Custom Dogs Pool Bar & Grill Funny Lifeguard Is Drunk Again Printed Metal Sign Pht-29Tt003,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-29TT003-ADS.jpg?v=1697172687,,,8684588204352,,,,,,2,Size,12 x 8 in,,1,,,,,,,,,,,,
,variable,8685664600384,Welcome To Our Poolside Bar & Grill - Couple Personalized Custom Home Decor Metal Sign HLD15MAY23VA1,1,0,visible,,"<h4 style=""margin-left:0px;""><strong>Description</strong></h4><ul>
<li>Full colour print on high quality 0.5mm aluminium which produces a strong and vibrant finish. You can install these funny signs anywhere indoors or outdoors.</li>
<li>Signs are drilled top and bottom for easy installation.</li>
<li>All of our products are handmade. Whether as a gift for friends and family, or to spruce up the home, office, garage, or garden shed a Print Crafted gift is the perfect choice. We specialise in vintage, retro, shabby chic, and decorative prints.</li>
<li>Personalized: our products can be personalized with a name, or special message at no extra cost.</li>
<li>Note: This item is recommended for indoor, or shaded outdoor area, use only. Variation in monitor calibrations may display the colours slightly differently to the physical product.</li>
<li>Material: Stainless Steel</li>
</ul><p style=""margin-left:0px;""><strong>Size:</strong></p><ul>
<li>30 x 20 cm (12 x 8 inches)</li>
<li>45 x 30 cm (17.71 x 12 inches)</li>
</ul><p style=""margin-left:0px;""><strong>Processing time:</strong> 3 – 5 days</p><p style=""margin-left:0px;""><strong>Shipping time: 10</strong> – 15 days (US)</p><p style=""margin-left:0px;""><strong>Personalization:</strong></p><ul>
<li>Please fill in the required fields and carefully double-check the spelling.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>The last step, click ""Preview Your Personalization"" to get a glimpse of the wonderful creation you've made.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD15MAY23VA1-ads1.jpg?v=1717928813,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD15MAY23VA1-ads3.jpg?v=1717924621",,,,,,,,,0,Size,"17.5"" x 12.5"",12"" x 8""",0,1,"17.5"" x 12.5""",,,,,,,,,,,
,variation,8685664600384-1,Welcome To Our Poolside Bar & Grill - Couple Personalized Custom Home Decor Metal Sign HLD15MAY23VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD15MAY23VA1-ads1.jpg?v=1717928813,,,8685664600384,,,,,,1,Size,"17.5"" x 12.5""",,1,,,,,,,,,,,,
,variation,8685664600384-2,Welcome To Our Poolside Bar & Grill - Couple Personalized Custom Home Decor Metal Sign HLD15MAY23VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD15MAY23VA1-ads1.jpg?v=1717928813,,,8685664600384,,,,,,2,Size,"12"" x 8""",,1,,,,,,,,,,,,
,variable,8685568819520,Personalized Mother's Day Gift Mom Grandma's Garden Nana's Love Bugs Metal Sign HLD06APR23NY1,1,0,visible,,"<h4 style=""margin-left:0px;""><strong>Description</strong></h4><ul>
<li>Full colour print on high quality 0.5mm aluminium which produces a strong and vibrant finish. You can install these funny signs anywhere indoors or outdoors.</li>
<li>Signs are drilled top and bottom for easy installation.</li>
<li>All of our products are handmade. Whether as a gift for friends and family, or to spruce up the home, office, garage, or garden shed a Print Crafted gift is the perfect choice. We specialise in vintage, retro, shabby chic, and decorative prints.</li>
<li>Personalized: our products can be personalized with a name, or special message at no extra cost.</li>
<li>Note: This item is recommended for indoor, or shaded outdoor area, use only. Variation in monitor calibrations may display the colours slightly differently to the physical product.</li>
<li>Material: Stainless Steel</li>
</ul><p style=""margin-left:0px;""><strong>Size:</strong></p><ul>
<li>30 x 20 cm (12 x 8 inches)</li>
<li>45 x 30 cm (17.71 x 12 inches)</li>
</ul><p style=""margin-left:0px;""><strong>Processing time:</strong> 3 – 5 days</p><p style=""margin-left:0px;""><strong>Shipping time: 10</strong> – 15 days (US)</p><p style=""margin-left:0px;""><strong>Personalization:</strong></p><ul>
<li>Please fill in the required fields and carefully double-check the spelling.</li>
<li>To ensure the best looking, please use standard English only and exclude special characters.</li>
<li>The last step, click ""Preview Your Personalization"" to get a glimpse of the wonderful creation you've made.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD06APR23NY1-ads.jpg?v=1715341504,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads2__24_f58ff7b2-0e99-4793-a7c1-309dbe960e36.jpg?v=1715340424,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads3__22_8348c8ea-fa52-46ff-a647-827aa1ec94f8.jpg?v=1715326435",,,,,,,,,0,Size,"17.5"" x 12.5"",12"" x 8""",0,1,"17.5"" x 12.5""",,,,,,,,,,,
