ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8876150849856,Christmas Blue Vibe Snowman Grandma Mom Colorful Kids Personalized Mug NVL01NOV23VA1,1,0,visible,,"<p>Grip it and sip it. Personalize an 11oz white mug with one of your favorite images. Full color imprinting, strong ceramic construction, and everyday convenience come together in one product.<br>Microwave safe.<br>Dishwasher safe.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads1.jpg?v=1699082158,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads2.jpg?v=1699082158,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads4.jpg?v=1699082133,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads3.jpg?v=1699082133",,,,,,,,,0,Size,"11OZ,15OZ",0,1,11OZ,,,,,,,,,,,
,variation,8876150849856-1,Christmas Blue Vibe Snowman Grandma Mom Colorful Kids Personalized Mug NVL01NOV23VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NVL01NOV23VA1-ads2.jpg?v=1699082158,,,8876150849856,,,,,,1,Size,11OZ,,1,,,,,,,,,,,,
,variation,8876150849856-2,Christmas Blue Vibe Snowman Grandma Mom Colorful Kids Personalized Mug NVL01NOV23VA1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,,,,8876150849856,,,,,,2,Size,15OZ,,1,,,,,,,,,,,,
,variable,8872738652480,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,"<ul>
<li>
<strong>Best Material:</strong> Our products are made from premium quality ceramic, manufactured to be microwave safe and dishwasher for any cold or hot beverages. You can choose what design suitable for your purpose.</li>
<li>
<strong>Perfect Quality and Durability:</strong> High quality print to ensure quote sayings are not easily removed. Printed with superior ceramic inks that are fired on at a temperature of up to 1200 degrees. This coffee mug has a high definition printing on BOTH SIDES, perfect either for right or left handed users. And guarantee to be durable for years. The full range of colors available for your artwork in this range is: Red, Black, Pink, Light Blue.</li>
<li>
<strong>Home decoration:</strong> You always feel energetic and good mood whenever using colorful and meaning mugs in your house.</li>
<li>
<strong>Gift of love:</strong> A perfect idea if you are finding a birthday gift, a housewarming gift, a festival gift, a Mother’s Day/ Father’s Day/ Valentine’s Day/ Christmas gift for your family or friends.</li>
<li>
<strong>Widely usage:</strong> It's great gift for family, co-workers or friends in their birthdays or any occasions. Or it can be your indispensable part of your energetic morning with coffee, tea or any liquid.</li>
<li>11oz fluid capacity.</li>
<li>3.8” height x 3.2” diameter.</li>
<li>Printed in USA</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v2_2545e266-37d3-46fb-8c6f-b02d2939235e.jpg?v=1698981338,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v3_f1dca27f-87a4-47be-bf1a-671ad005305e.jpg?v=1698981338",,,,,,,,,0,Color,"Red,Black,Midnight Blue,Light Blue,Pink,Orange,Light Green",0,1,Red,,,,,,,,,,,
,variation,8872738652480-1,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,,,8872738652480,,,,,,1,Color,Red,,1,,,,,,,,,,,,
,variation,8872738652480-2,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,,,8872738652480,,,,,,2,Color,Black,,1,,,,,,,,,,,,
,variation,8872738652480-3,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,,,8872738652480,,,,,,3,Color,Midnight Blue,,1,,,,,,,,,,,,
,variation,8872738652480-4,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,,,8872738652480,,,,,,4,Color,Light Blue,,1,,,,,,,,,,,,
,variation,8872738652480-5,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,,,8872738652480,,,,,,5,Color,Pink,,1,,,,,,,,,,,,
,variation,8872738652480-6,Couple Snowman Christmas Grandma Grandpa With Grandkids Personalized Accent Mug HTN02NOV23CT3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_a914412b-eceb-4046-9439-24c15dbd22b9.jpg?v=1698981338,,,8872738652480,,,,,,6,Color,Orange,,1,,,,,,,,,,,,
