ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684758696256,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,"<p style=""margin-left:0px;"">An 8oz 50/50 preshrunk polyester cotton blend makes this sweater one that everyone will enjoy. The air jet yarn &amp; double needle stitching all over gives it a durable, yet softer feel.</p><p style=""margin-left:0px;"">Features: 1 x 1 rib with spandex, quarter-turned to eliminate center crease, tear away label.<br>Heather colors: 60% polyester/ 40% cotton.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2021-G59F-1634354163605.jpg?v=1699763782,,,,,,,,,0,Type,Hoodie,0,1,Hoodie,Size,"S,M,L,XL,2XL,3XL,4XL,5XL",0,1,S,,,,,,
,variation,8684758696256-1,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,1,Type,Hoodie,,1,,Size,S,,1,,,,,,,
,variation,8684758696256-2,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,2,Type,Hoodie,,1,,Size,M,,1,,,,,,,
,variation,8684758696256-3,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,3,Type,Hoodie,,1,,Size,L,,1,,,,,,,
,variation,8684758696256-4,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,4,Type,Hoodie,,1,,Size,XL,,1,,,,,,,
,variation,8684758696256-5,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,5,Type,Hoodie,,1,,Size,2XL,,1,,,,,,,
,variation,8684758696256-6,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,6,Type,Hoodie,,1,,Size,3XL,,1,,,,,,,
,variation,8684758696256-7,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,7,Type,Hoodie,,1,,Size,4XL,,1,,,,,,,
,variation,8684758696256-8,Personalized Dog Name & Photo Christmas Dog Dad Gift Sweater 3D HLD15OCT21SH1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.95,,,,,,,8684758696256,,,,,,8,Type,Hoodie,,1,,Size,5XL,,1,,,,,,,
,variable,8684761219392,Personalized Names Blessed To Be Called Grandma 3D Full Painting Sweater DHL19OCT21NY1,1,0,visible,,"<p style=""margin-left:0px;"">An 8oz 50/50 preshrunk polyester cotton blend makes this sweater one that everyone will enjoy. The air jet yarn &amp; double needle stitching all over gives it a durable, yet softer feel.</p><p style=""margin-left:0px;"">Features: 1 x 1 rib with spandex, quarter-turned to eliminate center crease, tear away label.<br>Heather colors: 60% polyester/ 40% cotton.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2021-NRLW-1634640501372.jpg?v=1699764935,,,,,,,,,0,Size,"S,M,L,XL,2XL,3XL,4XL,5XL",0,1,S,Type,Sweater,0,1,Sweater,,,,,,
