ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684814467392,Personalized Grandma Mom Handprints Mother's Day Gift Leather Pattern Tote Bag HLD13DEC21TT1,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <p style=""margin-left: 0px;""><span data-mce-fragment=""1"">NOTE: NOT REAL LEATHER MATERIAL</span></p>
<p style=""margin-left: 0px;"">Personalized Tote Bag is a perfect choice for carrying your all thing everyday use or bringing to any casual occasion.<br> </p>
<p style=""margin-left: 0px;""><strong>Description</strong></p>
<ul>
<li>This is a customized product with a customized design</li>
<li>This Tote Bag is sturdy, washable, and versatile for all everyday use.</li>
<li>The handles are very durable as well as soft for your shoulder.</li>
<li>Fitting up to 14"" laptop, iPad, tablet, books, magazines, day planner, and more.</li>
<li>Care Instructions: Cold hand wash. Hang to dry.</li>
</ul>
<p style=""margin-left: 0px;""><strong>Features</strong></p>
<ul>
<li><strong>Material: Premium Polyester-cotton blend</strong></li>
<li>
<strong>Size:</strong><br><strong>- S (33x33 cm)</strong><br><strong>- M (40x40 cm)</strong><br><strong>- L (46x46 cm)</strong>
</li>
</ul>
<p style=""margin-left: 0px;""><strong>Shipping info</strong></p>
<ul>
<li>
<strong>Production Time:</strong> All orders are processed within 3 - 5 business days.</li>
<li>
<strong>Processing Time:</strong> It takes 1 - 2 days to ship your order to our warehouse, put your name and address on it and ship out.</li>
<li>
<strong>Shipping Time: </strong>Shipments within the USA take 2 - 8 days. Typically it takes up to 7 - 14 business days to arrive at an international address. This time is from the date that it is shipped out, not the day the order is placed.</li>
<li>
<strong>Return &amp; Exchange:</strong> If for some reason you are not happy with your purchase, we will happily work with you to correct the problems.</li>
<li>
<strong>Tracking Number: </strong>When available, we will send you the tracking number with the confirmation email so that you can track the package online.</li>
<li>If you have any other queries, please feel free to email us</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HLD13DEC21TT1-ADS-2.jpg?v=1702353049,,,,,,,,,0,Size,"Size S (33x33cm),Size M (40x40cm),Size L (46x46cm)",0,1,Size S (33x33cm),,,,,,,,,,,
,variation,8684814467392-1,Personalized Grandma Mom Handprints Mother's Day Gift Leather Pattern Tote Bag HLD13DEC21TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.95,,,,,,,8684814467392,,,,,,1,Size,Size S (33x33cm),,1,,,,,,,,,,,,
,variation,8684814467392-2,Personalized Grandma Mom Handprints Mother's Day Gift Leather Pattern Tote Bag HLD13DEC21TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.95,,,,,,,8684814467392,,,,,,2,Size,Size M (40x40cm),,1,,,,,,,,,,,,
,variation,8684814467392-3,Personalized Grandma Mom Handprints Mother's Day Gift Leather Pattern Tote Bag HLD13DEC21TT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,,,,8684814467392,,,,,,3,Size,Size L (46x46cm),,1,,,,,,,,,,,,
,variable,8684818497856,Personalized Dog Mom Road To My Heart Is Paved With Pawprints Leather Pattern Tote Bag HLD16DEC21TT2,1,0,visible,,"<h4><strong>NOTE: Not real Leather, the background only uses leather texture effect</strong></h4> <p style=""margin-left: 0px;""><span data-mce-fragment=""1"">NOTE: NOT REAL LEATHER MATERIAL</span></p>
<p style=""margin-left: 0px;"">Personalized Tote Bag is a perfect choice for carrying your all thing everyday use or bringing to any casual occasion.<br> </p>
<p style=""margin-left: 0px;""><strong>Description</strong></p>
<ul>
<li>This is a customized product with a customized design</li>
<li>This Tote Bag is sturdy, washable, and versatile for all everyday use.</li>
<li>The handles are very durable as well as soft for your shoulder.</li>
<li>Fitting up to 14"" laptop, iPad, tablet, books, magazines, day planner, and more.</li>
<li>Care Instructions: Cold hand wash. Hang to dry.</li>
</ul>
<p style=""margin-left: 0px;""><strong>Features</strong></p>
<ul>
<li><strong>Material: Premium Polyester-cotton blend</strong></li>
<li>
<strong>Size:</strong><br><strong>- S (33x33 cm)</strong><br><strong>- M (40x40 cm)</strong><br><strong>- L (46x46 cm)</strong>
</li>
</ul>
<p style=""margin-left: 0px;""><strong>Shipping info</strong></p>
<ul>
<li>
<strong>Production Time:</strong> All orders are processed within 3 - 5 business days.</li>
<li>
<strong>Processing Time:</strong> It takes 1 - 2 days to ship your order to our warehouse, put your name and address on it and ship out.</li>
<li>
<strong>Shipping Time: </strong>Shipments within the USA take 2 - 8 days. Typically it takes up to 7 - 14 business days to arrive at an international address. This time is from the date that it is shipped out, not the day the order is placed.</li>
<li>
<strong>Return &amp; Exchange:</strong> If for some reason you are not happy with your purchase, we will happily work with you to correct the problems.</li>
<li>
<strong>Tracking Number: </strong>When available, we will send you the tracking number with the confirmation email so that you can track the package online.</li>
<li>If you have any other queries, please feel free to email us</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2021-O2A4-1639734744975.jpg?v=1702363736,,,,,,,,,0,Size,"Size S (33x33cm),Size M (40x40cm),Size L (46x46cm)",0,1,Size S (33x33cm),,,,,,,,,,,
,variation,8684818497856-1,Personalized Dog Mom Road To My Heart Is Paved With Pawprints Leather Pattern Tote Bag HLD16DEC21TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2021-O2A4-1639734744975.jpg?v=1702363736,,,8684818497856,,,,,,1,Size,Size S (33x33cm),,1,,,,,,,,,,,,
,variation,8684818497856-2,Personalized Dog Mom Road To My Heart Is Paved With Pawprints Leather Pattern Tote Bag HLD16DEC21TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2021-O2A4-1639734744975.jpg?v=1702363736,,,8684818497856,,,,,,2,Size,Size M (40x40cm),,1,,,,,,,,,,,,
,variation,8684818497856-3,Personalized Dog Mom Road To My Heart Is Paved With Pawprints Leather Pattern Tote Bag HLD16DEC21TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/A-SN-2021-O2A4-1639734744975.jpg?v=1702363736,,,8684818497856,,,,,,3,Size,Size L (46x46cm),,1,,,,,,,,,,,,
,variable,8685890634048,Nurse Life Pretty Doll Nurse Personalized Tote Bag NVL01AUG23KL2,1,0,visible,,"<p style=""margin-left:0px;"">Personalized Tote Bag is a perfect choice for carrying your all thing everyday use or bringing to any casual occasion.<br> </p><p style=""margin-left:0px;""><strong>Description</strong></p><ul>
<li>This is a customized product with a customized design</li>
<li>This Tote Bag is sturdy, washable, and versatile for all everyday use.</li>
<li>The handles are very durable as well as soft for your shoulder.</li>
<li>Fitting up to 14"" laptop, iPad, tablet, books, magazines, day planner, and more.</li>
<li>Care Instructions: Cold hand wash. Hang to dry.</li>
</ul><p style=""margin-left:0px;""><strong>Features</strong></p><ul>
<li><strong>Material: Premium Polyester-cotton blend</strong></li>
<li>
<strong>Size:</strong><br><strong>- S (33x33 cm)</strong><br><strong>- M (40x40 cm)</strong><br><strong>- L (46x46 cm)</strong>
</li>
</ul><p style=""margin-left:0px;""><strong>Shipping info</strong></p><ul>
<li>
<strong>Production Time:</strong> All orders are processed within 3 - 5 business days.</li>
<li>
<strong>Processing Time:</strong> It takes 1 - 2 days to ship your order to our warehouse, put your name and address on it and ship out.</li>
<li>
<strong>Shipping Time: </strong>Shipments within the USA take 2 - 8 days. Typically it takes up to 7 - 14 business days to arrive at an international address. This time is from the date that it is shipped out, not the day the order is placed.</li>
<li>
<strong>Return &amp; Exchange:</strong> If for some reason you are not happy with your purchase, we will happily work with you to correct the problems.</li>
<li>
<strong>Tracking Number: </strong>When available, we will send you the tracking number with the confirmation email so that you can track the package online.</li>
<li>If you have any other queries, please feel free to email us</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL01AUG23KL2-ads.jpg?v=1694758878,,,,,,,,,0,Size,"Size S (33x33cm),Size M (40x40cm),Size L (46x46cm)",0,1,Size S (33x33cm),,,,,,,,,,,
,variation,8685890634048-1,Nurse Life Pretty Doll Nurse Personalized Tote Bag NVL01AUG23KL2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL01AUG23KL2-ads.jpg?v=1694758878,,,8685890634048,,,,,,1,Size,Size S (33x33cm),,1,,,,,,,,,,,,
