ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,9516599738688,"Grandma, Mama Bear - Flower Background Personalized Tumbler With Straw NTK29JUL24TP1",1,0,visible,,"<p>If you are looking for one of a kind gift for your boyfriend or your husband, we got you covered! It can hold up to 40 oz of liquids and has a smart lid for easy use.<br><br>The best part is that you can customize the design printed on it, including your appearance or your name!<br><br>This wine tumbler will be a hit on his birthday, your anniversary, or just a surprise gift on a regular day.<br> </p><p><strong>PRODUCT DETAILS:</strong></p><ul>
<li>Made of high-quality 304 stainless steel.</li>
<li>Double Wall Insulation: Keeps beverages hot or cold.</li>
<li>40oz fluid capacity.</li>
<li>Includes (1) tumbler, BPA-free clear lid, and straw.</li>
<li>For best results, hand wash with soap, water and a scratch-free sponge.</li>
</ul><p style=""margin-left:0px;""><strong>Personalization:</strong></p><ul>
<li>Please fill in the required fields and carefully double-check the spelling</li>
<li>To ensure the best looking, please use standard English only and exclude special characters</li>
<li>The last step, click “Preview Your Personalization” to get a glimpse of the wonderful creation you've made</li>
</ul><p style=""margin-left:0px;"">Let’s create your own shirt and click “Add To Cart” NOW to get one!</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK29JUL24TP1-ads-1.jpg?v=1722568529,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3_bc7ca71c-d296-4d38-9771-1dfb1180721f.jpg?v=1722568529,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-5_91aac7b4-6f1d-4c7a-9fd1-4e0684f1d629.jpg?v=1722568529,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-2_6cce36d6-1434-4231-b8c7-851e1c563bc9.jpg?v=1722568529",,,,,,,,,0,Size,40OZ,0,1,40OZ,,,,,,,,,,,
,variation,9516599738688-1,"Grandma, Mama Bear - Flower Background Personalized Tumbler With Straw NTK29JUL24TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,44.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK29JUL24TP1-ads-1.jpg?v=1722568529,,,9516599738688,,,,,,1,Size,40OZ,,1,,,,,,,,,,,,
,variable,9514100523328,Fall Season Gnome Pumpkin Grandma Personalized Skinny Tumbler HTN29JUL24KL2,1,0,visible,,"<p style=""margin-left:0px;"">Personalized Stainless Steel Tumbler makes a great, unique gift for any occasion.</p><p style=""margin-left:0px;"">No one likes lukewarm coffee or warm soda. This stainless steel tumbler is effectively insulated, keeping hot and cold drinks at the temps you want them. Perfect for storing tea, coffee, wine, juices, and water.</p><p style=""margin-left:0px;""><strong>PRODUCT DETAILS:</strong></p><ul>
<li>Each of our Tumbler is custom-hand-made of SUS 304 body, premium material lid.</li>
<li>The only drink lid that uses the power of magnets to keep your water, beer, or favorite drink on lock.</li>
<li>A durable coat of color won’t fade, peel, or crack through extended field use and also provide additional grip.</li>
<li>The double-wall insulated tumbler with a vacuum between helps your drink to keep its temperature from 3 to 4 hours.</li>
<li>Capacity: 20oz</li>
<li>Dimension: Top Diameter x Bottom Diameter x Height: 7 x 6.5 x 21 (cm)</li>
<li>Package: 1 x Tumbler (without straw)</li>
</ul><p style=""margin-left:0px;""><strong>CARE INSTRUCTION</strong></p><ul>
<li>Hand Wash ONLY</li>
<li>NOT dishwasher or microwave safe</li>
<li>Do not drop</li>
</ul><p style=""margin-left:0px;""><strong>PERSONALIZATION: </strong></p><ul>
<li>Please complete fields required to customize options (Name/Characteristics) and <strong>recheck carefully</strong> all the customized options.</li>
<li>Text: Standard English excluding special characters, emojis to ensure the best looking.</li>
<li>Characteristics: Pick one-by-one options that match your description.</li>
<li>The last step, click ""Preview"" to get a glimpse of the wonderful creation you’ve made ❤️.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN29JUL24KL2.png?v=1722306482,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN29JUL24KL2-1.png?v=1722306493,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN29JUL24KL2-2.png?v=1722306502",,,,,,,,,0,Size,20 Oz,0,1,20 Oz,,,,,,,,,,,
,variation,9514100523328-1,Fall Season Gnome Pumpkin Grandma Personalized Skinny Tumbler HTN29JUL24KL2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,,,,9514100523328,,,,,,1,Size,20 Oz,,1,,,,,,,,,,,,
,variable,9508860625216,Nurse Life CNA RN Healthcare Worker Personalized Glitter Tumbler HTN25JUL24KL2,1,0,visible,,"<p>MATERIAL: 304 Stainless Steel  – Feature:Eco-friendly</p><p>CAPACITY: 20oz ( 591ml ) and 30oz ( 887ml )</p><p>SHAPE: cylindrical</p><p>ADVANCED 3D PRINT TECHNOLOGY: Using advanced 3D digital printing technology, the image is vivid, the color is bright and strong</p><p>Note:</p><p>Color may be little different due to monitor, thanks for your understanding.</p><p>Light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm.</p><p>We try to do 100% customer satisfaction service and experience. If the items you receive is damaged or wrong,please contact us with attached pictures about the problem, we will provide you a satisfactory solution within 24 hours.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN25JUL24KL2.png?v=1721898134,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN25JUL24KL2-1.png?v=1721898153,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN25JUL24KL2-3.png?v=1721898163,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN25JUL24KL2-4.png?v=1721898170",,,,,,,,,0,Size,"20 Oz,30 Oz",0,1,20 Oz,,,,,,,,,,,
,variation,9508860625216-1,Nurse Life CNA RN Healthcare Worker Personalized Glitter Tumbler HTN25JUL24KL2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,,,,9508860625216,,,,,,1,Size,20 Oz,,1,,,,,,,,,,,,
,variation,9508860625216-2,Nurse Life CNA RN Healthcare Worker Personalized Glitter Tumbler HTN25JUL24KL2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,,,,9508860625216,,,,,,2,Size,30 Oz,,1,,,,,,,,,,,,
,variable,9507786359104,This Grandma Belongs To Sea Animals Kid Names Personalized Tumbler NTK10JUL24TT2,1,0,visible,,"<p>MATERIAL: 304 Stainless Steel  – Feature:Eco-friendly</p><p>CAPACITY: 20oz ( 591ml ) and 30oz ( 887ml )</p><p>SHAPE: cylindrical</p><p>ADVANCED 3D PRINT TECHNOLOGY: Using advanced 3D digital printing technology, the image is vivid, the color is bright and strong</p><p>Note:</p><p>Color may be little different due to monitor, thanks for your understanding.</p><p>Light shooting and different displays may cause the color of the item in the picture a little different from the real thing. The measurement allowed error is +/- 1-3cm.</p><p>We try to do 100% customer satisfaction service and experience. If the items you receive is damaged or wrong,please contact us with attached pictures about the problem, we will provide you a satisfactory solution within 24 hours.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK10JUL24TT2-ads.jpg?v=1721816521,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK10JUL24TT2-ads-2.jpg?v=1721816521,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK10JUL24TT2-ads-3.jpg?v=1721816521,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK10JUL24TT2-ads-4.jpg?v=1721816521",,,,,,,,,0,Size,"20 Oz,30 Oz",0,1,20 Oz,,,,,,,,,,,
,variation,9507786359104-1,This Grandma Belongs To Sea Animals Kid Names Personalized Tumbler NTK10JUL24TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK10JUL24TT2-ads.jpg?v=1721816521,,,9507786359104,,,,,,1,Size,20 Oz,,1,,,,,,,,,,,,
,variation,9507786359104-2,This Grandma Belongs To Sea Animals Kid Names Personalized Tumbler NTK10JUL24TT2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NTK10JUL24TT2-ads.jpg?v=1721816521,,,9507786359104,,,,,,2,Size,30 Oz,,1,,,,,,,,,,,,
