ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,9.01621E+12,Linen Descanso Azul Print Pants,1,0,visible,,"Made of linen, the Descanso Azul Print Pants transmit natural charm and flair. It features pockets, a high waist, a waistband with belt loops, and a loose fit. Perfect!",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0262_471_1_1.png?v=1760990999,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0262_471_2_2.png?v=1760990999,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0262_471_3_3.png?v=1760990999,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0262_471_4_4.png?v=1760990999,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0262_471_5_5.png?v=1760990999,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0262_471_6_6.png?v=1760990999",,,,,,,,,0,Cores,Descanso Azul Print,0,1,Descanso Azul Print,Tamanhos,"0,2,4,6,8,10",0,1,0,,,,,,
,variation,9016208589019-1,Linen Descanso Azul Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,139,,,,,,,9.01621E+12,,,,,,1,Cores,Descanso Azul Print,,1,,Tamanhos,0,,1,,,,,,,
,variation,9016208589019-2,Linen Descanso Azul Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,139,,,,,,,9.01621E+12,,,,,,2,Cores,Descanso Azul Print,,1,,Tamanhos,2,,1,,,,,,,
,variation,9016208589019-3,Linen Descanso Azul Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,139,,,,,,,9.01621E+12,,,,,,3,Cores,Descanso Azul Print,,1,,Tamanhos,4,,1,,,,,,,
,variation,9016208589019-4,Linen Descanso Azul Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,139,,,,,,,9.01621E+12,,,,,,4,Cores,Descanso Azul Print,,1,,Tamanhos,6,,1,,,,,,,
,variation,9016208589019-5,Linen Descanso Azul Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,139,,,,,,,9.01621E+12,,,,,,5,Cores,Descanso Azul Print,,1,,Tamanhos,8,,1,,,,,,,
,variation,9016208589019-6,Linen Descanso Azul Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,139,,,,,,,9.01621E+12,,,,,,6,Cores,Descanso Azul Print,,1,,Tamanhos,10,,1,,,,,,,
,variable,9.01621E+12,Tulle Vichy Print Pants,1,0,visible,,"Lightness, softness, and good vibes. The Vichy Print Pants are made of tulle, with a loose fit, high waist, and include hot pants for added security when wearing.",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0253_471_1_1.png?v=1760990977,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0253_471_2_2.png?v=1760990977,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0253_471_3_3.png?v=1760990977,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0253_471_4_4.png?v=1760990977,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0253_471_5_5.png?v=1760990977,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/03.07.0253_471_6_6.png?v=1760990977",,,,,,,,,0,Cores,Vichy Print,0,1,Vichy Print,Tamanhos,"XXS,XS,S,M,L,XL",0,1,XXS,,,,,,
,variation,9016208425179-1,Tulle Vichy Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,119,,,,,,,9.01621E+12,,,,,,1,Cores,Vichy Print,,1,,Tamanhos,XXS,,1,,,,,,,
,variation,9016208425179-2,Tulle Vichy Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,119,,,,,,,9.01621E+12,,,,,,2,Cores,Vichy Print,,1,,Tamanhos,XS,,1,,,,,,,
,variation,9016208425179-3,Tulle Vichy Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,119,,,,,,,9.01621E+12,,,,,,3,Cores,Vichy Print,,1,,Tamanhos,S,,1,,,,,,,
,variation,9016208425179-4,Tulle Vichy Print Pants,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,119,,,,,,,9.01621E+12,,,,,,4,Cores,Vichy Print,,1,,Tamanhos,M,,1,,,,,,,
