ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
1,variable,,Special Edition T-shirt Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt,1,0,visible,,"""The Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt is perfect for creating a variety of outfits. It features a cropped length, a crew neck, a yoke, and is sustainably produced. Caring for 100% cotton pieces is essential to maintaining their quality and beauty. Here are some simple tips: - GENTLE WASHING: wash your clothes on a gentle cycle, with cold or warm water, to prevent shrinkage and preserve colors. - NATURAL DRYING: avoid the dryer by hanging clothes outside or on a clothesline to dry naturally. - AVOID BLEACHES: harsh products can weaken fibers and fade colors. Use mild detergents. - PROPER STORAGE: store clothes in well-ventilated areas, away from direct sunlight, and hang them flat to prevent wrinkles. Choosing 100% cotton styles means opting for comfort, durability, and sustainability. With proper care, your pieces will remain beautiful and comfortable for many years to come.""",,,taxable,,1,,,0,0,,,,,1,,,,T-Shirts,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_1-BLUSA-MALHA-COM-RIB.png?v=1755136640,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_2-BLUSA-MALHA-COM-RIB.png?v=1755136641,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_3-BLUSA-MALHA-COM-RIB.png?v=1755136641,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_4-BLUSA-MALHA-COM-RIB.png?v=1755136640,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_5-BLUSA-MALHA-COM-RIB.png?v=1755136641,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_6-BLUSA-MALHA-COM-RIB.png?v=1755136640,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_2345_7-BLUSA-MALHA-COM-RIB.png?v=1755136641",,,,,,,,,0,Cores,Caffeine Brown,0,1,Caffeine Brown,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26,,,,,,,id:1,,,,,,1,Cores,Caffeine Brown,,1,,Tamanhos,XS,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26,,,,,,,id:1,,,,,,2,Cores,Caffeine Brown,,1,,Tamanhos,S,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26,,,,,,,id:1,,,,,,3,Cores,Caffeine Brown,,1,,Tamanhos,M,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26,,,,,,,id:1,,,,,,4,Cores,Caffeine Brown,,1,,Tamanhos,L,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine Crew Neck Ribbed Sleeveless T-Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26,,,,,,,id:1,,,,,,5,Cores,Caffeine Brown,,1,,Tamanhos,XL,,1,,,,,,,
2,variable,,Special Edition T-shirt Brown Caffeine V Neck Short Sleeve T-Shirt Set of 2,1,0,visible,,"Ideal for everyday adventures. The basic Brown Caffeine V Neck Short Sleeve T-Shirt has a regular length, short sleeves, and a V-neck. Invest! in the coolest piece!",,,taxable,,1,,,0,0,,,,,1,,,,T-Shirts,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_1-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_2-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_3-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_4-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_5-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_6-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083015_2345_9-T-SHIRT-BASICA-DECOTE-V.png?v=1755136707",,,,,,,,,0,Cores,Caffeine Brown,0,1,Caffeine Brown,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine V Neck Short Sleeve T-Shirt Set of 2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36,,,,,,,id:2,,,,,,1,Cores,Caffeine Brown,,1,,Tamanhos,XS,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine V Neck Short Sleeve T-Shirt Set of 2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36,,,,,,,id:2,,,,,,2,Cores,Caffeine Brown,,1,,Tamanhos,S,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine V Neck Short Sleeve T-Shirt Set of 2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36,,,,,,,id:2,,,,,,3,Cores,Caffeine Brown,,1,,Tamanhos,M,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine V Neck Short Sleeve T-Shirt Set of 2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36,,,,,,,id:2,,,,,,4,Cores,Caffeine Brown,,1,,Tamanhos,L,,1,,,,,,,
,variation,,Special Edition T-shirt Brown Caffeine V Neck Short Sleeve T-Shirt Set of 2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36,,,,,,,id:2,,,,,,5,Cores,Caffeine Brown,,1,,Tamanhos,XL,,1,,,,,,,
3,variable,,Special Edition T-shirt Off-White Crew Neck Ribbed Sleeveless T-Shirt Set of 3,1,0,visible,,"""The Off-White Crew Neck Ribbed Sleeveless T-Shirt is perfect for creating a variety of outfits. It features a cropped length, a crew neck, a yoke, and is sustainably produced. Caring for 100% cotton pieces is essential to maintaining their quality and beauty. Here are some simple tips: - GENTLE WASHING: wash your clothes on a gentle cycle, with cold or warm water, to prevent shrinkage and preserve colors. - NATURAL DRYING: avoid the dryer by hanging clothes outside or on a clothesline to dry naturally. - AVOID BLEACHES: harsh products can weaken fibers and fade colors. Use mild detergents. - PROPER STORAGE: store clothes in well-ventilated areas, away from direct sunlight, and hang them flat to prevent wrinkles. Choosing 100% cotton styles means opting for comfort, durability, and sustainability. With proper care, your pieces will remain beautiful and comfortable for many years to come.""",,,taxable,,1,,,0,0,,,,,1,,,,T-Shirts,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_1-BLUSA-MALHA-COM-RIB.png?v=1755136635,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_2-BLUSA-MALHA-COM-RIB.png?v=1755136635,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_3-BLUSA-MALHA-COM-RIB.png?v=1755136635,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_4-BLUSA-MALHA-COM-RIB.png?v=1755136635,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_5-BLUSA-MALHA-COM-RIB.png?v=1755136635,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_6-BLUSA-MALHA-COM-RIB.png?v=1755136634,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02082995_198_7-BLUSA-MALHA-COM-RIB.png?v=1755136636",,,,,,,,,0,Cores,Off-white,0,1,Off-white,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
