ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8965793906907,Sand Corcovado Collared Buttoned Cambric Shirt,1,0,visible,,"More style for your cool days. The Sand Corcovado Collared Buttoned Cambric Shirt has a loose fit, long sleeves, fitted cuffs, a front button closure, a collar, and an elongated length. It's definitely the charm your closet needs. Go for the matching shorts for a perfect, lightweight ensemble.",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_1-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136223,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_2-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136223,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_3-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136223,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_4-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136224,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_5-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136223,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_6-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136224,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072538_471_7-CAMISA-CAMBRAIA-ESTAMPA-CORCOVADO-MIX.png?v=1755136225",,,,,,,,,0,Cores,Sand Corcovado,0,1,Sand Corcovado,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
,variation,8965793906907-1,Sand Corcovado Collared Buttoned Cambric Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965793906907,,,,,,1,Cores,Sand Corcovado,,1,,Tamanhos,XS,,1,,,,,,,
,variation,8965793906907-2,Sand Corcovado Collared Buttoned Cambric Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965793906907,,,,,,2,Cores,Sand Corcovado,,1,,Tamanhos,S,,1,,,,,,,
,variation,8965793906907-3,Sand Corcovado Collared Buttoned Cambric Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965793906907,,,,,,3,Cores,Sand Corcovado,,1,,Tamanhos,M,,1,,,,,,,
,variation,8965793906907-4,Sand Corcovado Collared Buttoned Cambric Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965793906907,,,,,,4,Cores,Sand Corcovado,,1,,Tamanhos,L,,1,,,,,,,
,variation,8965793906907-5,Sand Corcovado Collared Buttoned Cambric Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965793906907,,,,,,5,Cores,Sand Corcovado,,1,,Tamanhos,XL,,1,,,,,,,
,variable,8965794201819,Off-White Areia Collared Buttoned Crop Shirt,1,0,visible,,"""Designed for stylish and energetic women, the Off-White Areia Collared Buttoned Crop Shirt features a cropped length, ¾ sleeves, a front opening with a button closure, and a collar. Plus, it's made from sustainable cotton, providing greater comfort, lightness, and softness to your everyday life. Opt for a matching skirt or shorts to create an incredibly put-together outfit! Caring for 100% cotton pieces is essential to maintaining their quality and beauty. Here are some simple tips: - GENTLE WASHING: wash your clothes on a gentle cycle, with cold or warm water, to prevent shrinkage and preserve colors. - NATURAL DRYING: avoid the dryer by hanging clothes outside or on a clothesline to dry naturally. - AVOID BLEACHES: harsh products can weaken fibers and fade colors. Use mild detergents. - PROPER STORAGE: store clothes in well-ventilated areas, away from direct sunlight, and hang them flat to prevent wrinkles. Choosing 100% cotton styles means opting for comfort, durability, and sustainability. With proper care, your pieces will remain beautiful and comfortable for many years to come.""",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072545_471_1-CAMISA-CROPPED-ESTAMPA-PE-NA-AREIA.png?v=1755136278,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072545_471_2-CAMISA-CROPPED-ESTAMPA-PE-NA-AREIA.png?v=1755136278,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072545_471_3-CAMISA-CROPPED-ESTAMPA-PE-NA-AREIA.png?v=1755136278,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072545_471_4-CAMISA-CROPPED-ESTAMPA-PE-NA-AREIA.png?v=1755136278,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072545_471_5-CAMISA-CROPPED-ESTAMPA-PE-NA-AREIA.png?v=1755136278,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02072545_471_6-CAMISA-CROPPED-ESTAMPA-PE-NA-AREIA.png?v=1755136279",,,,,,,,,0,Cores,Off-white Areia,0,1,Off-white Areia,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
,variation,8965794201819-1,Off-White Areia Collared Buttoned Crop Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965794201819,,,,,,1,Cores,Off-white Areia,,1,,Tamanhos,XS,,1,,,,,,,
,variation,8965794201819-2,Off-White Areia Collared Buttoned Crop Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965794201819,,,,,,2,Cores,Off-white Areia,,1,,Tamanhos,S,,1,,,,,,,
,variation,8965794201819-3,Off-White Areia Collared Buttoned Crop Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965794201819,,,,,,3,Cores,Off-white Areia,,1,,Tamanhos,M,,1,,,,,,,
