ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8965846827227,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,"Perfect for moments of relaxation and outdoor outings. The Brown And Off-White Raffia Open Toe Flat Flat Sandals is made of raffia, bringing a natural sophistication to the piece. It has a square toe and hugs the foot comfortably, fitting perfectly well. Invest!",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180177_2345_1-RASTEIRA-RAFIA-BICOLOR.png?v=1755139303,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180177_2345_2-RASTEIRA-RAFIA-BICOLOR.png?v=1755139304,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180177_2345_3-RASTEIRA-RAFIA-BICOLOR.png?v=1755139303,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180177_2345_4-RASTEIRA-RAFIA-BICOLOR.png?v=1755139303,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180177_2345_5-RASTEIRA-RAFIA-BICOLOR.png?v=1755139303",,,,,,,,,0,Cores,Caffeine Brown,0,1,Caffeine Brown,Tamanhos,"5,6,7,8,9,9,5",0,1,5,,,,,,
,variation,8965846827227-1,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965846827227,,,,,,1,Cores,Caffeine Brown,,1,,Tamanhos,5,,1,,,,,,,
,variation,8965846827227-2,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965846827227,,,,,,2,Cores,Caffeine Brown,,1,,Tamanhos,6,,1,,,,,,,
,variation,8965846827227-3,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965846827227,,,,,,3,Cores,Caffeine Brown,,1,,Tamanhos,7,,1,,,,,,,
,variation,8965846827227-4,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965846827227,,,,,,4,Cores,Caffeine Brown,,1,,Tamanhos,8,,1,,,,,,,
,variation,8965846827227-5,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965846827227,,,,,,5,Cores,Caffeine Brown,,1,,Tamanhos,9,,1,,,,,,,
,variation,8965846827227-6,Brown And Off-White Raffia Open Toe Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965846827227,,,,,,6,Cores,Caffeine Brown,,1,,Tamanhos,"9,5",,1,,,,,,,
,variable,8965847023835,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,"Perfect for experiencing incredible moments. The Brown And Off-White Ruched Leather Buckle Flat Sandals features a flat design, a knot and gold metal detailing on the upper, and charming stitching details on the sole. A must-have!",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180178_2345_1-SANDALIA-COURO-ENRUGADO.png?v=1755139316,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180178_2345_2-SANDALIA-COURO-ENRUGADO.png?v=1755139316,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180178_2345_3-SANDALIA-COURO-ENRUGADO.png?v=1755139317,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/09180178_2345_4-SANDALIA-COURO-ENRUGADO.png?v=1755139317",,,,,,,,,0,Cores,Caffeine Brown,0,1,Caffeine Brown,Tamanhos,"5,6,7,8,9,9,5",0,1,5,,,,,,
,variation,8965847023835-1,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965847023835,,,,,,1,Cores,Caffeine Brown,,1,,Tamanhos,5,,1,,,,,,,
,variation,8965847023835-2,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965847023835,,,,,,2,Cores,Caffeine Brown,,1,,Tamanhos,6,,1,,,,,,,
,variation,8965847023835-3,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965847023835,,,,,,3,Cores,Caffeine Brown,,1,,Tamanhos,7,,1,,,,,,,
,variation,8965847023835-4,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965847023835,,,,,,4,Cores,Caffeine Brown,,1,,Tamanhos,8,,1,,,,,,,
,variation,8965847023835-5,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965847023835,,,,,,5,Cores,Caffeine Brown,,1,,Tamanhos,9,,1,,,,,,,
,variation,8965847023835-6,Brown And Off-White Ruched Leather Buckle Flat Sandal,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965847023835,,,,,,6,Cores,Caffeine Brown,,1,,Tamanhos,"9,5",,1,,,,,,,
