ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8965833130203,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,"A classic fit we love. The Black Buttoned Waist Side Pockets Bermuda Shorts feature a high waist, belt loops, pleats, pockets, and an extended length for a stylish and charming look.",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_1_1.png?v=1758419663,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_2_2.png?v=1758419663,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_3_3.png?v=1758419662,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_4_4.png?v=1758419663,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_5_5.png?v=1758419662,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_6_6.png?v=1758419662,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.29.0764_468_7_7.png?v=1758419663",,,,,,,,,0,Cores,Black,0,1,Black,Tamanhos,"0,2,4,6,8,10",0,1,0,,,,,,
,variation,8965833130203-1,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833130203,,,,,,1,Cores,Black,,1,,Tamanhos,0,,1,,,,,,,
,variation,8965833130203-2,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833130203,,,,,,2,Cores,Black,,1,,Tamanhos,2,,1,,,,,,,
,variation,8965833130203-3,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833130203,,,,,,3,Cores,Black,,1,,Tamanhos,4,,1,,,,,,,
,variation,8965833130203-4,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833130203,,,,,,4,Cores,Black,,1,,Tamanhos,6,,1,,,,,,,
,variation,8965833130203-5,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833130203,,,,,,5,Cores,Black,,1,,Tamanhos,8,,1,,,,,,,
,variation,8965833130203-6,Black Buttoned Waist Side Pockets Bermuda Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833130203,,,,,,6,Cores,Black,,1,,Tamanhos,10,,1,,,,,,,
,variable,8965833195739,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,"Pure charm. The Brown Plaid Buckled Belt Side Pockets Shorts feature a cropped length, a loose fit, pockets, a high waist, belt loops, and a buckle belt. Perfect!",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_1-SHORT-XADREZ-FIVELA-COS.png?v=1755138271,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_2-SHORT-XADREZ-FIVELA-COS.png?v=1755138271,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_3-SHORT-XADREZ-FIVELA-COS.png?v=1755138271,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_4-SHORT-XADREZ-FIVELA-COS.png?v=1755138271,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_5-SHORT-XADREZ-FIVELA-COS.png?v=1755138272,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_6-SHORT-XADREZ-FIVELA-COS.png?v=1755138272,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_7-SHORT-XADREZ-FIVELA-COS.png?v=1755138271,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04290766_198_8-SHORT-XADREZ-FIVELA-COS.png?v=1755138272",,,,,,,,,0,Cores,Brown Plaid,0,1,Brown Plaid,Tamanhos,"0,2,4,6,8,10",0,1,0,,,,,,
,variation,8965833195739-1,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833195739,,,,,,1,Cores,Brown Plaid,,1,,Tamanhos,0,,1,,,,,,,
,variation,8965833195739-2,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833195739,,,,,,2,Cores,Brown Plaid,,1,,Tamanhos,2,,1,,,,,,,
,variation,8965833195739-3,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833195739,,,,,,3,Cores,Brown Plaid,,1,,Tamanhos,4,,1,,,,,,,
,variation,8965833195739-4,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833195739,,,,,,4,Cores,Brown Plaid,,1,,Tamanhos,6,,1,,,,,,,
,variation,8965833195739-5,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833195739,,,,,,5,Cores,Brown Plaid,,1,,Tamanhos,8,,1,,,,,,,
,variation,8965833195739-6,Brown Plaid Buckled Belt Side Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,54,,,,,,,8965833195739,,,,,,6,Cores,Brown Plaid,,1,,Tamanhos,10,,1,,,,,,,
,variable,8965834244315,Denim Seam Pockets Shorts,1,0,visible,,"The Denim Seam Pockets Shorts have a loose fit, short length, contrasting stitching detail, and pockets. Go for the denim corset with stitching for a perfect set!",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04300711_352_1-SHORT-JEANS-PESPONTOS.png?v=1755138357,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04300711_352_2-SHORT-JEANS-PESPONTOS.png?v=1755138357,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04300711_352_3-SHORT-JEANS-PESPONTOS.png?v=1755138357,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04300711_352_4-SHORT-JEANS-PESPONTOS.png?v=1755138358,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04300711_352_5-SHORT-JEANS-PESPONTOS.png?v=1755138357,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04300711_352_6-SHORT-JEANS-PESPONTOS.png?v=1755138358,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/04.30.0711_352_9_9.png?v=1758419693",,,,,,,,,0,Cores,Denim,0,1,Denim,Tamanhos,"0,2,4,6,8,10",0,1,0,,,,,,
,variation,8965834244315-1,Denim Seam Pockets Shorts,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,64,,,,,,,8965834244315,,,,,,1,Cores,Denim,,1,,Tamanhos,0,,1,,,,,,,
