ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8965819007195,Off-White Embroidered Sun Crew Neck Sweatshirt,1,0,visible,,Blusa Moletom Com Alto Relevo,,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_1_1.png?v=1758419222,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_2_2.png?v=1758419221,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_3_3.png?v=1758419221,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_4_4.png?v=1758419222,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_5_5.png?v=1758419222,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_6_6.png?v=1758419221,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02.08.3106_2332_7_7.png?v=1758419221",,,,,,,,,0,Cores,Off-white,0,1,Off-white,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
,variation,8965819007195-1,Off-White Embroidered Sun Crew Neck Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965819007195,,,,,,1,Cores,Off-white,,1,,Tamanhos,XS,,1,,,,,,,
,variation,8965819007195-2,Off-White Embroidered Sun Crew Neck Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965819007195,,,,,,2,Cores,Off-white,,1,,Tamanhos,S,,1,,,,,,,
,variation,8965819007195-3,Off-White Embroidered Sun Crew Neck Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965819007195,,,,,,3,Cores,Off-white,,1,,Tamanhos,M,,1,,,,,,,
,variation,8965819007195-4,Off-White Embroidered Sun Crew Neck Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965819007195,,,,,,4,Cores,Off-white,,1,,Tamanhos,L,,1,,,,,,,
,variation,8965819007195-5,Off-White Embroidered Sun Crew Neck Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,74,,,,,,,8965819007195,,,,,,5,Cores,Off-white,,1,,Tamanhos,XL,,1,,,,,,,
,variable,8965813207259,Off-White Embroidered Tree Crew Neck Short Sleeve Sweatshirt,1,0,visible,,"Bet on comfort and style. Our Off-White Embroidered Tree Crew Neck Short Sleeve T-Shirt features a loose fit, regular length, ¾ sleeves, small side slits, and a coconut tree embroidery on the back.",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_1-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136975,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_2-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136976,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_3-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136976,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_4-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136976,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_5-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136976,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_6-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136976,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_7-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136976,https://cdn.shopify.com/s/files/1/0726/8083/3243/files/02083064_198_8-T-SHIRT-MOLETOM-COM-BORDADO.png?v=1755136977",,,,,,,,,0,Cores,Off-white,0,1,Off-white,Tamanhos,"XS,S,M,L,XL",0,1,XS,,,,,,
,variation,8965813207259-1,Off-White Embroidered Tree Crew Neck Short Sleeve Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965813207259,,,,,,1,Cores,Off-white,,1,,Tamanhos,XS,,1,,,,,,,
,variation,8965813207259-2,Off-White Embroidered Tree Crew Neck Short Sleeve Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965813207259,,,,,,2,Cores,Off-white,,1,,Tamanhos,S,,1,,,,,,,
,variation,8965813207259-3,Off-White Embroidered Tree Crew Neck Short Sleeve Sweatshirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59,,,,,,,8965813207259,,,,,,3,Cores,Off-white,,1,,Tamanhos,M,,1,,,,,,,
