ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,"<div data-id=""07918756694720521"">
<div data-id=""07918756694720521"">
<div data-id=""07918756694720521"">
<div data-block-id=""block-75b37e0f-bdf4-4222-93a2-33cba27c8b52"">The Personalized Photo Polo Shirt is a heartfelt Father's Day gift, adorned with the titles ""Best Dad By Par"" or ""Best Papa By Par."" This classic polo design ensures both style and comfort, making it suitable for various occasions. The option to include a cherished photo adds a personal touch, capturing special memories and creating a unique keepsake. This versatile shirt is a meaningful tribute, celebrating your dad's exceptional role and the bond you share.<br><br><strong>MESSAGE:</strong>
</div>
<div data-block-id=""block-75b37e0f-bdf4-4222-93a2-33cba27c8b52"">
<div data-block-id=""block-7d4e6487-154c-45bd-ab95-31fe9a651c69"">
<ul>
<li>Best Dad by par.</li>
<li>Best Papa by par.</li>
<li>Best Daddy by par.<br><br>
</li>
</ul>
</div>
</div>
<p data-mce-style=""text-align: left;""><strong>PRODUCT DETAILS:</strong></p>
</div>
</div>
</div>
<div data-id=""07918756694720521"">
<div data-id=""07918756694720521"">
<ul>
<li>Material: Bird-eye pique fabric with 3-5% Spandex – Lightweight, breathable, moisture-wicking, stretchable, quick-drying fabric that is comfortable to wear as a casual or activewear outfit.</li>
<li>Regular fit allows you to move freely and conveniently.</li>
<li>Pull-on closure with 3-button placket – Classic Polo style yet comfortable to put on and take off.</li>
<li>Double-stitch hems for durability.</li>
<li>Sublimation printing creates vibrant and clear prints on the fabric which won’t come off.</li>
</ul>
</div>
</div>
<style type=""text/css""><!--
br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
br {mso-data-placement:same-cell;}
--></style>",,,taxable,,1,,,0,0,,,,,1,,,,Polo Shirt,,,"https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_2.jpg?v=1710594106,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/tachd_u_d7fbb079-92db-4e0e-8328-0e788fbeb11b.jpg?v=1710594106,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_3.jpg?v=1710594106,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_3.5.jpg?v=1710594106,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_4.jpg?v=1710594106,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_5.jpg?v=1710594106",,,,,,,,,0,Style,All-over Print Polo Shirt,0,1,All-over Print Polo Shirt,Size,"S,M,L,XL,2XL,3XL,4XL,5XL",0,1,S,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,32.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,1,Style,All-over Print Polo Shirt,,1,,Size,S,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,2,Style,All-over Print Polo Shirt,,1,,Size,M,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,36.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,3,Style,All-over Print Polo Shirt,,1,,Size,L,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,38.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,4,Style,All-over Print Polo Shirt,,1,,Size,XL,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,38.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,5,Style,All-over Print Polo Shirt,,1,,Size,2XL,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,40.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,6,Style,All-over Print Polo Shirt,,1,,Size,3XL,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,42.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,7,Style,All-over Print Polo Shirt,,1,,Size,4XL,,1,,,,,,,
,variation,,Best Dad By Par - Personalized Photo Polo Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,42.95,,,,https://cdn.shopify.com/s/files/1/0626/0421/4428/products/Best-Dad-By-Par-Personalized-Photo-Polo-Shirt_1.jpg?v=1710594106,,,7.90371E+12,,,,,,8,Style,All-over Print Polo Shirt,,1,,Size,5XL,,1,,,,,,,
,variable,,"Best Dad Ever Gift For Dad, Grandpa - Personalized Photo Polo Shirt",1,0,visible,,"<div data-id=""07918756694720521"">
<div data-id=""07918756694720521"">
<div data-id=""07918756694720521"">
<div data-block-id=""block-75b37e0f-bdf4-4222-93a2-33cba27c8b52"">
<div data-block-id=""block-7c6e9a7e-f4b9-447a-a1fd-b1664992b1ac"">
<div data-block-id=""block-b9605d8a-252d-4558-850f-1e123cb90be1"">
<div data-block-id=""block-9d14a48a-e444-4a73-bc49-d14ef0813b99"">
<div data-block-id=""block-b2a93716-ac2d-43fc-bac3-d4f28f5ebcea"">
<div data-block-id=""block-531f25f6-8aab-49c5-8f92-df38f15bfd0c"">
<div data-zone-id=""0"" data-line-index=""0"" data-line=""true"">
<div data-zone-id=""0"" data-line-index=""1"" data-line=""true"">
<div data-zone-id=""0"" data-line-index=""1"" data-line=""true"">
<div data-zone-id=""0"" data-line-index=""0"" data-line=""true"">The We Love You Polo Shirt is a perfect gift for dads and grandpas, designed to celebrate the special bond between generations. This customizable shirt features a beloved kids' photo, making it a heartfelt keepsake that showcases your family's love. Crafted for comfort and style, it's ideal for casual outings or family gatherings, allowing your loved ones to wear their cherished memories proudly.</div>
<div data-zone-id=""0"" data-line-index=""1"" data-line=""true""><br></div>
<div data-zone-id=""0"" data-line-index=""2"" data-line=""true"">Whether for a birthday, Father's Day, or just to show appreciation, this polo shirt serves as a meaningful reminder of the joy and connection you share. Gift this unique piece to create lasting memories and let them carry a piece of your family’s love wherever they go!</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<p data-block-id=""block-0cd9770c-cce7-4d52-8647-3056a6c76c13""><br><strong>MESSAGE:</strong> Best Dad Ever.<br><br><strong>PRODUCT DETAILS:</strong></p>
</div>
</div>
</div>
</div>
<div data-id=""07918756694720521"">
<div data-id=""07918756694720521"">
<ul>
<li>Material: Bird-eye pique fabric with 3-5% Spandex – Lightweight, breathable, moisture-wicking, stretchable quick-drying fabric that is comfortable to wear as a casual or activewear outfit.</li>
<li>Regular fit allows you to move freely and conveniently.</li>
<li>Pull-on closure with 3-button placket – Classic Polo style yet comfortable to put on and take off.</li>
<li>Double-stitch hems for durability.</li>
<li>Sublimation printing creates vibrant and clear prints on the fabric which won’t come off.</li>
</ul>
</div>
</div>
<style type=""text/css""><!--
br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
br {mso-data-placement:same-cell;}
--></style>",,,taxable,,1,,,0,0,,,,,1,,,,Polo Shirt,,,"https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Best-Dad-Ever-Gift-For-Dad_-Grandpa-Personalized-Photo-Polo-Shirt_1.jpg?v=1742885688,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Best-Dad-Ever-Gift-For-Dad_-Grandpa-Personalized-Photo-Polo-Shirt_2.jpg?v=1742885688,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Macorner-Cut-Face-Photo-Guidelines.png?v=1758249178,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Best-Dad-Ever-Gift-For-Dad_-Grandpa-Personalized-Photo-Polo-Shirt_3.jpg?v=1742885903,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Best-Dad-Ever-Gift-For-Dad_-Grandpa-Personalized-Photo-Polo-Shirt_4.jpg?v=1742885903,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Best-Dad-Ever-Gift-For-Dad_-Grandpa-Personalized-Photo-Polo-Shirt_5.jpg?v=1742885903,https://cdn.shopify.com/s/files/1/0626/0421/4428/files/Best-Dad-Ever-Gift-For-Dad_-Grandpa-Personalized-Photo-Polo-Shirt_6.jpg?v=1742885903",,,,,,,,,0,Style,All-over Print Polo Shirt,0,1,All-over Print Polo Shirt,Size,"S,M,L,XL,2XL,3XL,4XL,5XL",0,1,S,,,,,,
