ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,,Sunflower Women's Sneakers,1,0,visible,,"<p><img src=""https://cdn.shopify.com/s/files/1/0023/3766/9156/files/paypal_large.png?v=1528855665"" alt=""""></p>
<p>Model: SUNFLOWERGC03</p>
<p><span>Product Features</span><span>:</span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'> </span></p>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""1"" data-aria-level=""1"">
<span>Full canvas double sided print with rounded toe construction.</span><span data-ccp-props='{""134233279"":true,""201341983"":0,""335559739"":160,""335559740"":259}'> </span>
</li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""2"" data-aria-level=""1"">
<span>Lace-up closure for a snug fit.</span><span data-ccp-props='{""134233279"":true,""201341983"":0,""335559739"":160,""335559740"":259}'> </span>
</li>
</ul>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""1"" data-aria-level=""1"">
<span>Metal eyelets for a classic look</span><span>.</span><span data-ccp-props='{""134233279"":true,""201341983"":0,""335559739"":160,""335559740"":259}'> </span>
</li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""2"" data-aria-level=""1"">
<span>Soft textile lining with lightweight construction for maximum comfort.</span><span data-ccp-props='{""134233279"":true,""201341983"":0,""335559739"":160,""335559740"":259}'> </span>
</li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""3"" data-aria-level=""1"">
<span>High-quality outsole for traction and exceptional durability.</span><span data-ccp-props='{""134233279"":true,""201341983"":0,""335559739"":160,""335559740"":259}'> </span>
</li>
</ul>
<p><span>Please measure your foot before choosing a size. Our sizes may not match exactly with other popular shoe brands. Checkout </span><span>our Sizing Chart</span><span> to choose the correct size.</span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'> </span></p>
<p><span>Sizing Charts:</span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'> </span></p>
<p><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'><img src=""https://cdn.shopify.com/s/files/1/0023/3766/9156/files/Low_Top_Shoes_a9b25ad4-08be-4eae-bb6e-f24a964395d2_large.PNG?v=1533617744"" alt=""""></span></p>
<p><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'><img src=""https://cdn.shopify.com/s/files/1/0023/3766/9156/files/il_570xN.1555134382_sv7n_large.jpg?v=1533615249"" alt=""""></span></p>
<p><span>All of our </span><span>Low Top</span><span> Shoes are custom-made-to-order and handcrafted to the highest quality standards. Please allow </span><span>4</span><span>-7 business days for your order to be handmade and </span><span>shipped out.</span></p>
<p><span>Estimated Shipping Time:</span></p>
<p><span>- Standard Shipping: 10-15 business days.</span></p>
<p><span>- Express Shipping: 4-7 business days.</span></p>
<p><span>Got question? Email us</span><span> </span><a href=""mailto:support@gracodesign.com""><span>support@gracodesign.com</span></a><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'> </span></p>
<p><span>If you have never ordered with us, please take a few minutes to read over</span><span> </span><span>our </span><a href=""https://www.gracodesign.com/pages/delivery-policy""><span>Delivery</span><span> </span><span>Policy</span></a><span> to ensure the smooth delivery of your product.</span><span data-ccp-props='{""201341983"":0,""335559739"":160,""335559740"":259}'> </span></p>",,,taxable,,1,,,0,0,,,,,1,,,,Shoes,,,"https://cdn.shopify.com/s/files/1/0023/3766/9156/products/LOW_TOP_SHOES_MOCKUP_1_75fb8088-5909-4424-94a9-8f6582717959.jpg?v=1535302904,https://cdn.shopify.com/s/files/1/0023/3766/9156/products/10230_0_0x2_fee13b0f-aa80-4831-adf4-35ff9efc50b0.jpg?v=1550224398,https://cdn.shopify.com/s/files/1/0023/3766/9156/products/LOW_TOP_SHOES_MOCKUP_0089eb16-0b0f-490a-9383-11ad6230a7ae.jpg?v=1535302904",,,,,,,,,0,Size,"US5.5 (EU36),US6 (EU37),US7 (EU38),US8 (EU39),US9 (EU40),US10 (EU41),US11 (EU42),US11.5 (EU43),US12 (EU44)",0,1,US5.5 (EU36),,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,1,Size,US5.5 (EU36),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,2,Size,US6 (EU37),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,3,Size,US7 (EU38),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,4,Size,US8 (EU39),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,5,Size,US9 (EU40),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,6,Size,US10 (EU41),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,7,Size,US11 (EU42),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,8,Size,US11.5 (EU43),,1,,,,,,,,,,,,
,variation,,Sunflower Women's Sneakers,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.95,,,,,,,8.79651E+11,,,,,,9,Size,US12 (EU44),,1,,,,,,,,,,,,
