ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,"<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<p><strong>Description:</strong><span> Personalized Sweatshirt is a perfect choice for any occasion: Christmas, Birthday, Summer Vacation, Valentine's Day, Father’s Day, Mother's Day, Anniversary or Graduation. This is a great item for all pet lovers out there. It's also a unique gift for your loved ones.</span></p>
<p><span><strong>Message: </strong>""Pawperty of"".</span></p>
<p><strong>Our Products: </strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">This is a customized product with a customized design</li>
<li data-mce-fragment=""1"">Available in sizes S-5XL, unisex sizing</li>
<li data-mce-fragment=""1"">Tearaway label</li>
<li data-mce-fragment=""1""><strong>PRINTABLE AREA: 1-SIDE (FRONT)</strong></li>
<li data-mce-fragment=""1""><em data-mce-fragment=""1"">Laundry guide: Cold Hand Wash</em></li>
</ul>
<p data-mce-fragment=""1""><strong>Features:  </strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<strong>T-shirt:</strong><span> </span><span>This 6.0 oz ultra cotton t-shirt is a staple that would go with almost any outfit. Quarter-turned with taped neck and shoulders and a seven-eighths inch collar, this t-shirt is the definition of durability. Features: double-needle stitched neckline, bottom hem, and sleeves, tear-away label.</span>
</li>
<li data-mce-fragment=""1""><span><strong>Hoodie:</strong> An 8oz 50/50 polyester cotton blend makes this hoodie one that everyone will enjoy. The air jet yarn &amp; double-needle stitching all over gives it a durable, yet softer feel. Features: double-lined hood, matching drawcord, pouch pocket, 1 x 1 rib with spandex, quarter-turned to eliminate a center crease, tear-away label.</span></li>
<li data-mce-fragment=""1"">
<strong>Sweatshirt: </strong>An 8oz 50/50 preshrunk polyester cotton blend makes this sweatshirt one that everyone will enjoy. The air jet yarn &amp; double-needle stitching all over gives it a durable, yet softer feel. Features: 1 x 1 rib with spandex, quarter-turned to eliminate a center crease, tear-away label. Heather colors: 60% polyester/ 40% cotton.</li>
</ul>
<p><strong>PERSONALIZATION: </strong></p>
<ul>
<li>Please complete fields required to customize options (Name/Characteristics) and<span> </span><strong>recheck carefully</strong><span> </span>all the customized options.</li>
<li>Text: Standard English excluding special characters, emojis to ensure the best looking.</li>
<li>Characteristics: Pick one-by-one options that match your description.</li>
<li>The last step, click ""Preview"" to get a glimpse of the wonderful creation you’ve made <span>❤️</span>.</li>
</ul>
<p><strong>Please be aware that the Preview may slightly different from the physical item in terms of color due to our lighting at our product photoshoot or your device’s display.</strong></p>
<ul></ul>
<ul></ul>
<ul></ul>
<div id=""gtx-trans"" style=""position: absolute; left: 489px; top: 49.1875px;"">
<div class=""gtx-trans-icon""></div>
</div>",,,taxable,,1,,,0,0,,,,,1,,,,Sweatshirt,,,"https://cdn.shopify.com/s/files/1/0949/1454/3899/files/HP158-NAH2719-Mockup-Default.jpg?v=1750220198,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/photoguidelineremovebg_1500x_b864f1bf-926e-47eb-b46d-7387d9337255.jpg?v=1750220199,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/HP158-NAH2719-Mockup-Web-4.jpg?v=1750220199,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/HP158-NAH2719-Mockup-Web-3.jpg?v=1750220198,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/HP158-NAH2719-Mockup-Web-1.jpg?v=1750220198,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/HP158-NAH2719-Mockup-Web-2.jpg?v=1750220198",,,,,,,,,0,Style,"Sweatshirt,T-shirt,Hoodie",0,1,Sweatshirt,Color,"Sweatshirt White,Sweatshirt Heather Grey,Sweatshirt Pink,Tshirt White,Tshirt Heather Grey,Tshirt Pink,Tshirt Lightblue,Hoodie White,Hoodie Heather Grey,Hoodie Pink,Hoodie Lightblue",0,1,Sweatshirt White,Size,"S,M,L,XL,2XL,3XL,4XL,5XL",0,1,S,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,1,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,S,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,2,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,M,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,3,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,L,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,4,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,,,,9.90252E+12,,,,,,5,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,2XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,41.99,,,,,,,9.90252E+12,,,,,,6,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,3XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,43.99,,,,,,,9.90252E+12,,,,,,7,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,4XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,43.99,,,,,,,9.90252E+12,,,,,,8,Style,Sweatshirt,,1,,Color,Sweatshirt White,,1,,Size,5XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,9,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,S,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,10,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,M,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,11,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,L,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,12,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,,,,9.90252E+12,,,,,,13,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,2XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,41.99,,,,,,,9.90252E+12,,,,,,14,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,3XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,43.99,,,,,,,9.90252E+12,,,,,,15,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,4XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,43.99,,,,,,,9.90252E+12,,,,,,16,Style,Sweatshirt,,1,,Color,Sweatshirt Heather Grey,,1,,Size,5XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,17,Style,Sweatshirt,,1,,Color,Sweatshirt Pink,,1,,Size,S,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,18,Style,Sweatshirt,,1,,Color,Sweatshirt Pink,,1,,Size,M,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,19,Style,Sweatshirt,,1,,Color,Sweatshirt Pink,,1,,Size,L,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,37.99,,,,,,,9.90252E+12,,,,,,20,Style,Sweatshirt,,1,,Color,Sweatshirt Pink,,1,,Size,XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,,,,9.90252E+12,,,,,,21,Style,Sweatshirt,,1,,Color,Sweatshirt Pink,,1,,Size,2XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,41.99,,,,,,,9.90252E+12,,,,,,22,Style,Sweatshirt,,1,,Color,Sweatshirt Pink,,1,,Size,3XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.99,,,,,,,9.90252E+12,,,,,,23,Style,T-shirt,,1,,Color,Tshirt White,,1,,Size,S,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.99,,,,,,,9.90252E+12,,,,,,24,Style,T-shirt,,1,,Color,Tshirt White,,1,,Size,M,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,,,,9.90252E+12,,,,,,25,Style,T-shirt,,1,,Color,Tshirt White,,1,,Size,L,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,26.99,,,,,,,9.90252E+12,,,,,,26,Style,T-shirt,,1,,Color,Tshirt White,,1,,Size,XL,,1,,
,variation,,"Custom Photo Pawperty Of - Gift For Dog Lovers, Cat Lovers - Personalized Sweatshirt",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,28.99,,,,,,,9.90252E+12,,,,,,27,Style,T-shirt,,1,,Color,Tshirt White,,1,,Size,2XL,,1,,
