ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,"<p>The love of gardening is a seed once sown that never dies.</p>
<p>Celebrate your green-thumbed joy with the I Just Want To Work In My Garden - Personalized T Shirt that makes a perfect gift for women, gardening lovers, or yourself on Mother’s Day, birthdays, Christmas, or Thanksgiving. This delightful t-shirt blends comfort, style, and personality.</p>
<p>Wear it while watering plants, potting flowers, or enjoying a sunny day in the garden. Its breathable fabric and customized design keep you feeling inspired and appreciated with every bloom.</p>
<p>This gift for gardeners is awesome and full of charm. Whether you’re buying it for a plant-loving friend or treating yourself, it’s a joyful expression of passion and peace found in nature’s beauty.</p>
<p><strong>Message:</strong> ""I Just Want To Work In My Garden And Hangout With My Dog/Dogs"".</p>
<p><strong>Description:</strong></p>
<ul>
<li>This is a customized product with a customized design</li>
<li>Available in sizes S-5XL, unisex sizing</li>
<li>Tearaway label</li>
<li><strong>PRINTABLE AREA: 1-SIDE (FRONT)</strong></li>
<li><em>Laundry guide: Cold Hand Wash</em></li>
</ul>
<p><strong>Features: </strong></p>
<ul>
<li>
<strong>T-shirt:</strong><span> </span><span>This 6.0 oz ultra cotton t-shirt is a staple that would go with almost any outfit. Quarter-turned with taped neck and shoulders and a seven-eighths inch collar, this t-shirt is the definition of durability. Features: double-needle stitched neckline, bottom hem, and sleeves, tear-away label.</span>
</li>
<li><span><strong>Woman T-shirt:</strong> This preshrunk jersey knit has a classic fit with a feminine-inspired pattern. Seamless, double-needle 5/8"" collar, taped neck and shoulders make this an everyday delight to wear. Features: tear away label, double-needle sleeve and bottom hems, quarter-turned to eliminate center crease, side seam.</span></li>
<li><span><strong>Hoodie:</strong> An 8oz 50/50 polyester cotton blend makes this hoodie one that everyone will enjoy. The air jet yarn &amp; double-needle stitching all over gives it a durable, yet softer feel. Features: double-lined hood, matching drawcord, pouch pocket, 1 x 1 rib with spandex, quarter-turned to eliminate a center crease, tear-away label.</span></li>
<li>
<strong>Sweatshirt: </strong>An 8oz 50/50 preshrunk polyester cotton blend makes this sweatshirt one that everyone will enjoy. The air jet yarn &amp; double-needle stitching all over gives it a durable, yet softer feel. Features: 1 x 1 rib with spandex, quarter-turned to eliminate a center crease, tear-away label. Heather colors: 60% polyester/ 40% cotton.</li>
</ul>
<p><strong>PERSONALIZATION: </strong></p>
<ul>
<li>Please complete fields required to customize options (Name/Characteristics) and<span> </span><strong>recheck carefully</strong><span> </span>all the customized options.</li>
<li>Text: Standard English excluding special characters, emojis to ensure the best looking.</li>
<li>Characteristics: Pick one-by-one options that match your description.</li>
<li>The last step, click ""Preview"" to get a glimpse of the wonderful creation you’ve made <span>❤️</span>.</li>
</ul>
<p><strong>Please be aware that the Preview may slightly different from the physical item in terms of color due to our lighting at our product photoshoot or your device’s display.</strong></p>
<ul></ul>
<ul></ul>
<ul></ul>
<div style=""position: absolute; left: 580px; top: 49.1875px;"" id=""gtx-trans"">
<div class=""gtx-trans-icon""><br></div>
</div>",,,taxable,,1,,,0,0,,,,,1,,,,T-Shirt,,,"https://cdn.shopify.com/s/files/1/0949/1454/3899/files/IJustWantToWorkInMyGarden-PersonalizedTShirt-TS843-CLA1192-MkDefault.webp?v=1751862346,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/IJustWantToWorkInMyGarden-PersonalizedTShirt-TS843-CLA1192-Mk1.webp?v=1751862346,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/IJustWantToWorkInMyGarden-PersonalizedTShirt-TS843-CLA1192-Mk2.webp?v=1751862346,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/IJustWantToWorkInMyGarden-PersonalizedTShirt-TS843-CLA1192-Mk3.webp?v=1751862346,https://cdn.shopify.com/s/files/1/0949/1454/3899/files/IJustWantToWorkInMyGarden-PersonalizedTShirt-TS843-CLA1192-Mk4.webp?v=1751862346",,,,,,,,,0,Style,"Woman T-shirt,T-shirt,Hoodie,Sweatshirt",0,1,Woman T-shirt,Color,"Woman T-shirt Heather Grey,Woman T-shirt White,Woman T-shirt Pink,Woman T-shirt Lightblue,Tshirt Heather Grey,Tshirt White,Tshirt Pink,Tshirt Lightblue,Hoodie Heather Grey,Hoodie White,Hoodie Pink,Hoodie Lightblue,Sweatshirt Heather Grey,Sweatshirt White",0,1,Woman T-shirt Heather Grey,Size,"S,M,L,XL,2XL,3XL,4XL,5XL",0,1,S,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,25.99,,,,,,,9.92098E+12,,,,,,1,Style,Woman T-shirt,,1,,Color,Woman T-shirt Heather Grey,,1,,Size,S,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.99,,,,,,,9.92098E+12,,,,,,2,Style,Woman T-shirt,,1,,Color,Woman T-shirt Heather Grey,,1,,Size,M,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.99,,,,,,,9.92098E+12,,,,,,3,Style,Woman T-shirt,,1,,Color,Woman T-shirt Heather Grey,,1,,Size,L,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.99,,,,,,,9.92098E+12,,,,,,4,Style,Woman T-shirt,,1,,Color,Woman T-shirt Heather Grey,,1,,Size,XL,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,,,,9.92098E+12,,,,,,5,Style,Woman T-shirt,,1,,Color,Woman T-shirt Heather Grey,,1,,Size,2XL,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,,,,9.92098E+12,,,,,,6,Style,Woman T-shirt,,1,,Color,Woman T-shirt Heather Grey,,1,,Size,3XL,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,25.99,,,,,,,9.92098E+12,,,,,,7,Style,Woman T-shirt,,1,,Color,Woman T-shirt White,,1,,Size,S,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.99,,,,,,,9.92098E+12,,,,,,8,Style,Woman T-shirt,,1,,Color,Woman T-shirt White,,1,,Size,M,,1,,
,variation,,I Just Want To Work In My Garden - Personalized T Shirt,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.99,,,,,,,9.92098E+12,,,,,,9,Style,Woman T-shirt,,1,,Color,Woman T-shirt White,,1,,Size,L,,1,,
