ID	Type	SKU	Name	Published	Is featured?	Visibility in catalog	Short description	Description	Date sale price starts	Date sale price ends	Tax status	Tax class	In stock?	Stock	Low stock amount	Backorders allowed?	Sold individually?	Weight (kg)	Length (cm)	Width (cm)	Height (cm)	Allow customer reviews?	Purchase note	Sale price	Regular price	Categories	Tags	Shipping class	Images	Download limit	Download expiry days	Parent	Grouped products	Upsells	Cross-sells	External URL	Button text	Position	Attribute 1 name	Attribute 1 value(s)	Attribute 1 visible	Attribute 1 global	Attribute 1 default	Attribute 2 name	Attribute 2 value(s)	Attribute 2 visible	Attribute 2 global	Attribute 2 default	Attribute 3 name	Attribute 3 value(s)	Attribute 3 visible	Attribute 3 global	Attribute 3 default	Meta: hwp_product_gtin
	variable	8.30349E+12	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible		"<p>These exquisitely personalized shirts will make your day a little extraordinary and meaningful. They're also great gifts for Mother's Day, Father's Day, Birthdays, Christmas, Halloween, and other significant events to make your loved ones feel even more special.</p><p></p><p><strong>Product details:</strong></p><ul><li><p>Material: 100% cotton unisex fit.</p></li></ul><ul>
<li><p>Care: Can be hand washed or machine washed, do not soak for a long time, do not bleach, the temperature of the washing liquid should not exceed 45ºC</p></li>
<li><p>Decoration type: Digital print.</p></li>
<li><p>Non-deformable neckline: Reinforced round neck, the neckline will not deform.</p></li>
<li><p>Double-fold cuffs: Stronger and more resistant to deformation.</p></li>
<li><p>Exquisite workmanship: fine stitching and basically no threads.</p></li>
<li><p>High-grade elastic fabric: sweat-absorbent, breathable, no shrinkage, no deformation, no pilling.</p></li>
</ul>"			taxable		1			0	0					1				Uncategorized			"https://cdn.shopify.com/s/files/1/0610/2758/2178/products/family-personalized-custom-unisex-t-shirt-gift-for-mom-grandma-custom-photo-in-my-mom-era-943750.webp?v=1709423396,https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d0234e148.webp?v=1709346294,https://cdn.shopify.com/s/files/1/0610/2758/2178/products/family-personalized-custom-unisex-t-shirt-gift-for-mom-grandma-custom-photo-in-my-mom-era-923932.webp?v=1709423396,https://cdn.shopify.com/s/files/1/0610/2758/2178/products/family-personalized-custom-unisex-t-shirt-gift-for-mom-grandma-custom-photo-in-my-mom-era-156913.webp?v=1709423396,https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5cfde6a1fc.webp?v=1709346294,https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d056acd11.webp?v=1709346299,https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d0646a783.webp?v=1709346300,https://cdn.shopify.com/s/files/1/0610/2758/2178/products/family-personalized-custom-unisex-t-shirt-gift-for-mom-grandma-custom-photo-in-my-mom-era-672294.webp?v=1709423396,https://cdn.shopify.com/s/files/1/0610/2758/2178/products/family-personalized-custom-unisex-t-shirt-gift-for-mom-grandma-custom-photo-in-my-mom-era-299029.webp?v=1709423396,https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d0b87c762.webp?v=1709346300"									0	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	0	1	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	Color	"Black,white,Navy,Grey"	0	1	Black	Size	"S,M,L,XL,2XL,3XL"	0	1	S	
	variation	8303489712354-1	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			24.99							8.30349E+12						1	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	Black		1		Size	S		1		
	variation	8303489712354-2	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			26.99							8.30349E+12						2	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	Black		1		Size	M		1		
	variation	8303489712354-3	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			26.99							8.30349E+12						3	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	Black		1		Size	L		1		
	variation	8303489712354-4	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			27.99							8.30349E+12						4	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	Black		1		Size	XL		1		
	variation	8303489712354-5	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			28.99							8.30349E+12						5	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	Black		1		Size	2XL		1		
	variation	8303489712354-6	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			30.99							8.30349E+12						6	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	Black		1		Size	3XL		1		
	variation	8303489712354-7	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			24.99				https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d0234e148.webp?v=1709346294			8.30349E+12						7	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	white		1		Size	S		1		
	variation	8303489712354-8	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			26.99				https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d0234e148.webp?v=1709346294			8.30349E+12						8	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	white		1		Size	M		1		
	variation	8303489712354-9	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"	1	0	visible					taxable	parent	1				0					0			26.99				https://cdn.shopify.com/s/files/1/0610/2758/2178/files/65d5d0234e148.webp?v=1709346294			8.30349E+12						9	Available Product	"Family Personalized Custom Unisex T-shirt- Gift For Mom, Grandma, Custom Photo In My Mom Era"		1		Color	white		1		Size	L		1		
