ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
1,variable,,Aura Form Vase Gilded I-Scream Vase,1,0,visible,,"<p><b>Golden Rule.</b></p><p>Our iconic I-Scream Vase (featuring flawless, fluid lines and an Elizabethan ruff sleeve) just got another delicious detail—a lined cone dripping with gleaming, real gold glamour.</p><p>Fab with a single rose or peony and just what your dining table's been begging for—a vase with powerful presence, but low enough not to block sight lines across the table. Place one per setting or group several to create a fresh centerpiece. They're also a sweet addition to your bedside table, and a perfectly playful hostess gift.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Vase,,,"https://cdn.shopify.com/s/files/1/0270/1082/6274/files/i_scream_defaced.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/FA20_Scalinatella_Ottoman_Ivory_d7526eba-9030-4df1-b670-d44d418bf7c2.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/gilded_muse_iscream_spring19_fefd4060-3c5f-4d23-bff3-e3feb9e67c5d.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/SP21_Guilded_Muse_All_d5141b38-a5b6-4eec-8657-3e7c03c00610.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/gilded_muse_collection_spring19_6db3232f-d7cc-4500-aad8-8ee927e150f8.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/canaan_drinks_table_spring19_4fd08ce5-c14b-42aa-898e-2dadfa2e77d8.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/jacques_two_tier_side_table_2a91f004-0302-4621-9de8-d90c0e9b91e0.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO19_Muse_IScream_Cones_1c7273a8-e0f6-4f6b-a410-003edd16eeb6.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Guilded_Muse_Collection_Holiday_23_49f2d7ee-c556-4f6d-9af5-d68c28cbce80.jpg?v=1757481758,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/SU24_Gilded_Muse_Collection_cddae89e-2c39-47c2-b229-3e234d4038ae.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO24_pottery_gilded_muse_collection_bb6966fe-9d65-4b94-95da-ced41e8f4ce2.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO24_gifts_for_her_72e35c20-2f98-467f-a5c8-991282e54b41.jpg?v=1757481758,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/i_scream_defaced_a.jpg?v=1757481757,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/i_scream_defaced_b.jpg?v=1757481757",,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,,Aura Form Vase Gilded I-Scream Vase,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,168.00,,,,,,,id:1,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
2,variable,,Heritage Line Vase I-Scream Vase,1,0,visible,,"<p><b>A Scoop of Style.</b></p><p>Our iconic I-Scream Vase, featuring flawless, fluid lines and an Elizabethan ruff sleeve. Fab with a single rose or peony and just what your dining table's been begging for—a vase with powerful presence, but low enough not to block sight lines across the table. Place one per setting or group several to create a fresh centerpiece. They're also a sweet addition to your bedside table, and a perfectly playful hostess gift.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Vase,,,"https://cdn.shopify.com/s/files/1/0270/1082/6274/files/muse_iscream_c_68ba4784-84a1-42d6-9ae5-980a39dcc1f2.jpg?v=1757478984,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO19_1948_Dinnerware_21b79cb9-d7fc-4dd4-9ea7-4a101a8d6dbf.jpg?v=1757478984,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/SP21_Smartphone_Dock_a.jpg?v=1757478984,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/SP21_Parker_CurvedSofa_2a2b78db-c2fb-40a1-8a59-e0c3c3513acd.jpg?v=1757478984,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Riveria_Reed_Tray_Detail_Summer23_1.jpg?v=1757478984,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/muse_iscream_d_dcc215fe-f46d-4b88-84a0-73cfb2341a44.jpg?v=1757478984",,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,,Heritage Line Vase I-Scream Vase,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,168.00,,,,,,,id:2,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
3,variable,,Airy Curve Vase Kiki's Derrière Vase,1,0,visible,,"<p><b>Provocative Porcelain.</b></p><p>Everyone can get behind a vessel wrapped in soft curves crafted in timeless matte porcelain. Inspired by Kiki de Montparnasse, the nightclub singer, actress, painter, and French artists' muse.</p><p>Jonathan sculpts and throws the models for our Muse pottery and then substitutes our signature geometric relief patterns with body parts—faces, breasts, lips—to create a surreal style. Pieces are inspired by our favorite artists' muses.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Vase,,,"https://cdn.shopify.com/s/files/1/0270/1082/6274/files/SO9U_kiki_derriere_903bb893-9e4d-43d1-85ac-8e38090e1a50.jpg?v=1757478445,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO19_Provocative_Porcelain_459741cb-fca8-4586-a2ee-d464a9ff1508.jpg?v=1757478445,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/kikis_derriere_vase_b.jpg?v=1757478445,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/kikis_derriere_vase_c_d64fede1-3b72-4999-9d17-af29a687caf5.jpg?v=1757478445",,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,,Airy Curve Vase Kiki's Derrière Vase,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,168.00,,,,,,,id:3,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
4,variable,,Signature Craft Vase Edie Vase,1,0,visible,,"<p><b>Provocative Porcelain</b></p><p>Featuring a perfectly placed blossom, our Edie Vase is crafted in timeless unglazed porcelain—a blooming beauty from every angle. Inspired by Edie Sedgwick, the American heiress, socialite, actress, and fashion model also known as one of Andy Warhol's muses.</p><p>Jonathan sculpts and throws the models for our Muse pottery and then substitutes our signature geometric relief patterns with body parts—faces, breasts, lips—to create a surreal style. Pieces are inspired by our favorite artists' muses.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Vase,,,"https://cdn.shopify.com/s/files/1/0270/1082/6274/files/muse_edie1_ab81c0ba-042d-4d8f-9e45-e767c19b8d0a.jpg?v=1743568131,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Web_FA16_EdieVase_480190e7-0fb6-4cb3-a9c0-af335e2d3c2a.jpg?v=1743568131,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Web17_Reception_20Area_20Flowers_2184dc77-87ed-44ea-9258-838dd50fa555.jpg?v=1743568131,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO19_Provocative_Porcelain_5bc29c45-79a4-4f68-9289-15ca4f245223.jpg?v=1743568131,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/muse_edie4_654c5c05-379a-4b08-ae6c-ce7666b12db1.jpg?v=1743568131,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/muse_edie2_6c23dda8-4d18-4959-a8c1-f7cc856cb3b8.jpg?v=1743568131,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/muse_edie3_f9254f18-3d2a-41c9-9f40-77bef114698b.jpg?v=1743568131",,,,,,,,,0,Title,Default Title,0,1,Default Title,,,,,,,,,,,
,variation,,Signature Craft Vase Edie Vase,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,168.00,,,,,,,id:4,,,,,,1,Title,Default Title,,1,,,,,,,,,,,,
5,variable,,Timeless Curve Vase Bel Air Mini Scoop Vase,1,0,visible,,"<p><b>Style Suspended.</b></p><p>An organic form in a bold or moody hue suspended within a thick clear acrylic cube. Our Bel Air vases are perfect for tight bouquets, and also fab as an intriguing <i>objet</i> sans blooms. Available in several shapes and sizes, they're standouts on their own and major in multiples—build a vibrant centerpiece with a line of Mini Scoops, or group different colors and shapes for a modernist tablescape.</p>",,,taxable,,1,,,0,0,,,,,1,,,,Vase,,,"https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_b.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/BelaireSmallVasesSquareV2crop.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Web19_bel_air_vases_537f81e9-dff2-4ce4-94df-18d811f3cbea.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/CROP_WEB16_belair_mini_scoop_vases_fc62101c-b00f-40f3-82ee-fd34cb9e0122.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/CROP_WEB16_belair_mini_scoop_vases_overhead_24a0dfa1-880e-4631-9283-a51c610a097a.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO21_Bel-Air_Collection_a_cf4d50ef-4ba8-4aa1-bf8f-0143d035c3ce.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Web_JA_Spring17_Acropolis_Lamp_950d2606-93da-43b1-9cab-76bd865ab140.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/FA20_Antwerp_Circles_Cabinet_Beaumont_Chair_f61acea9-d86f-4241-acb5-992c7f08e965.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/FA21_Voltaire_Chair_6ee3c947-0c85-4614-8504-13931d761e6e.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO22_ripple_twin-beds_monterey_wall-side-table_036f9a3d-c0bd-4662-b21e-8487a00e5c28.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/Bel_Air_Mini_Scoop_Vase_Collection_Fall23_69a9fba5-df0e-497e-a69b-f0069830c814.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO24_vases_bel_air_collection_6a7c4c7d-6d4c-4755-9196-b5f35dd885ce.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/HO24_dining_scene_tablesetting_druggist_aaae2d56-5fd9-4c1d-b24b-88240c3ae675.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_p_9c01ac72-2efe-4167-b197-737ac9f2049c.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_w.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_co.jpg?v=1757995820,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_em.jpg?v=1757995819,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_o_3a102617-3e07-4c8b-8c1d-4709323dcc71.jpg?v=1757995820",,,,,,,,,0,Color,"Lilac,White,Cobalt,Emerald,Orange",0,1,Lilac,,,,,,,,,,,
,variation,,Timeless Curve Vase Bel Air Mini Scoop Vase,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,168.00,,,,https://cdn.shopify.com/s/files/1/0270/1082/6274/files/bel_air_sc_mini_p_9c01ac72-2efe-4167-b197-737ac9f2049c.jpg?v=1757995819,,,id:5,,,,,,1,Color,Lilac,,1,,,,,,,,,,,,
