ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,simple,BANGKE-055,Unisex Couple Custom Photo Watch,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Unisex-Engraved-Alloy-Bracelet-Photo-Watch-40mm.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm-01.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm-02.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm-03.png",,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-063,Unisex Couple Custom Photo Watch,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Unisex-Engraved-Alloy-Bracelet-Photo-Watch-40mm-s01.png,https://momgot.com/wp-content/uploads/2020/04/Unisex-Engraved-Alloy-Bracelet-Photo-Watch-40mm-a04.png,https://momgot.com/wp-content/uploads/2020/04/Unisex-Engraved-Alloy-Bracelet-Photo-Watch-40mm-a03.png,https://momgot.com/wp-content/uploads/2020/04/Unisex-Engraved-Alloy-Bracelet-Photo-Watch-40mm-a02.png",,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-060,Unisex Photo Watch Color Nylon Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Unisex-Photo-Watch-Color-Nylon-Strap.jpg,https://momgot.com/wp-content/uploads/2020/04/20190106202224.png,https://momgot.com/wp-content/uploads/2020/04/20190106202209.png,https://momgot.com/wp-content/uploads/2020/04/20190106202146.png",,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-061,Unisex Rose Goldtone Photo Watch Black Leather Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Unisex-Engraved-Rose-Goldtone-Photo-Watch-Black-Leather-Strap.jpg,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Rose-Goldtone-Photo-Watch-Black-Leather-Strap-36mm-03.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Rose-Goldtone-Photo-Watch-Black-Leather-Strap-36mm-02.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Rose-Gold-Alloy-Bracelet-Photo-Watch-36mm-01.png",,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-059,Unisex Photo Watch Brown Leather Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,https://momgot.com/wp-content/uploads/2020/04/Unisex-Photo-Watch-Brown-Leather-Strap.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-058,Unisex Rose Goldtone Photo Watch Brown Leather Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,https://momgot.com/wp-content/uploads/2020/04/Unisex-Rose-Goldtone-Photo-Watch-Brown-Leather-Strap.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-056,Womens Alloy Bracelet Photo Watch,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm-03-1.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm-02-1.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Alloy-Bracelet-Photo-Watch-36mm-01-1.png",,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-057,Unisex Rose Goldtone Photo Watch Color Nylon Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Unisex-Rose-Goldtone-Photo-Watch-Color-Nylon-Strap.jpg,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Rose-Goldtone-Photo-Watch-Color-Nylon-Strap-36mm-03.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Rose-Goldtone-Photo-Watch-Color-Nylon-Strap-36mm-02.png,https://momgot.com/wp-content/uploads/2020/04/Womens-Engraved-Rose-Goldtone-Photo-Watch-Color-Nylon-Strap-36mm-01.png",,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,BANGKE-050,Womens Photo Watch Brown Leather Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,https://momgot.com/wp-content/uploads/2020/04/Womens-Photo-Watch-Brown-Leather-Strap.jpg,,,,,,,,,0,,,,,,,,,,,,,,,,
,simple,1097,Womens Photo Watch Color Nylon Strap,1,0,visible,,"Watch Case: Special Alloy and Glass, Outside Diameter 1.57 in/4.0 cm<br>Watch Band: Special Alloy, 7.8 in/20 cm in Length, 0.7 in/1.8 cm in Width.<br>Surprise your loved one with a custom photo watch which is purely custom made to fit any personality. The image of design is directly printed onto the inside of watch surface. Once you place an order, you'll be able to preview how it will appear on the watch. Please do remember high resolution picture will come out better than the preview. This custom photo watch cannot be refunded once we start the making process. A custom photo watch always makes a great gift and will never go out of style. Buy yours today!",,,taxable,,1,,,0,0,,,,,1,,,95,Watch,,,"https://momgot.com/wp-content/uploads/2020/04/Womens-Photo-Watch-Color-Nylon-Strap.jpg,https://momgot.com/wp-content/uploads/2020/04/20190106202146-1.png,https://momgot.com/wp-content/uploads/2020/04/20190106202209-1.png,https://momgot.com/wp-content/uploads/2020/04/20190106202224-1.png",,,,,,,,,0,,,,,,,,,,,,,,,,
