ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8984489984320,Grandma's Garden Love Grows Here Custom Name Kids Personalized Fleece Blanket CTL25DEC23CT1,1,0,visible,,"<p style=""margin-left:0px;"">The ultra-soft, silky smooth, lightweight fleece blanket features your art or photography vibrantly printed on one side. Plush &amp; warm enough for an in-home accessory and lightweight enough to take on-the-go!</p><p style=""margin-left:0px;"">Specifications:</p><ul>
<li>Available in two sizes: 30x40in, 50x60in and 60x80in.</li>
<li>Made with 100% soft and silky polyester.</li>
<li>Hemmed edges.</li>
<li>Ultra-high definition, full bleed, photo quality printing.</li>
</ul><p style=""margin-left:0px;"">Care:</p><ul><li>Machine washable, no fading or discoloration.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL25DEC23CT1-ads-1.jpg?v=1703553795,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v1_9cbfd6a3-98ba-44d4-b109-189349fefc6e.jpg?v=1703553795,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v2_c7122f21-8518-4b60-aeba-955952fff2ae.jpg?v=1703553795,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/v3_df4ed827-7c86-43b1-b067-455619dfb98c.jpg?v=1703553795",,,,,,,,,0,Size,"Small (30x40in),Medium (50x60in),Large (60x80in)",0,1,Small (30x40in),,,,,,,,,,,
,variation,8984489984320-1,Grandma's Garden Love Grows Here Custom Name Kids Personalized Fleece Blanket CTL25DEC23CT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL25DEC23CT1-ads-1.jpg?v=1703553795,,,8984489984320,,,,,,1,Size,Small (30x40in),,1,,,,,,,,,,,,
,variation,8984489984320-2,Grandma's Garden Love Grows Here Custom Name Kids Personalized Fleece Blanket CTL25DEC23CT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL25DEC23CT1-ads-1.jpg?v=1703553795,,,8984489984320,,,,,,2,Size,Medium (50x60in),,1,,,,,,,,,,,,
,variation,8984489984320-3,Grandma's Garden Love Grows Here Custom Name Kids Personalized Fleece Blanket CTL25DEC23CT1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,69.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/CTL25DEC23CT1-ads-1.jpg?v=1703553795,,,8984489984320,,,,,,3,Size,Large (60x80in),,1,,,,,,,,,,,,
,variable,8977320575296,Kid Affirmations I Am Kind Smart Loved - Personalized Custom Photo Upload Blanket - NTD18DEC23NY1,1,0,visible,,"<p style=""margin-left:0px;"">The ultra-soft, silky smooth, lightweight fleece blanket features your art or photography vibrantly printed on one side. Plush &amp; warm enough for an in-home accessory and lightweight enough to take on-the-go!</p><p style=""margin-left:0px;"">Specifications:</p><ul>
<li>Available in two sizes: 30x40in, 50x60in and 60x80in.</li>
<li>Made with 100% soft and silky polyester.</li>
<li>Hemmed edges.</li>
<li>Ultra-high definition, full bleed, photo quality printing.</li>
</ul><p style=""margin-left:0px;"">Care:</p><ul><li>Machine washable, no fading or discoloration.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD18DEC23NY1-ads.jpg?v=1702971665,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads5__24.jpg?v=1702971665,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads4__32.jpg?v=1702971665,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads3__32.jpg?v=1702971665",,,,,,,,,0,Size,"Small (30x40in),Medium (50x60in),Large (60x80in)",0,1,Small (30x40in),,,,,,,,,,,
,variation,8977320575296-1,Kid Affirmations I Am Kind Smart Loved - Personalized Custom Photo Upload Blanket - NTD18DEC23NY1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD18DEC23NY1-ads.jpg?v=1702971665,,,8977320575296,,,,,,1,Size,Small (30x40in),,1,,,,,,,,,,,,
,variation,8977320575296-2,Kid Affirmations I Am Kind Smart Loved - Personalized Custom Photo Upload Blanket - NTD18DEC23NY1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD18DEC23NY1-ads.jpg?v=1702971665,,,8977320575296,,,,,,2,Size,Medium (50x60in),,1,,,,,,,,,,,,
,variation,8977320575296-3,Kid Affirmations I Am Kind Smart Loved - Personalized Custom Photo Upload Blanket - NTD18DEC23NY1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,69.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD18DEC23NY1-ads.jpg?v=1702971665,,,8977320575296,,,,,,3,Size,Large (60x80in),,1,,,,,,,,,,,,
,variable,8977276797248,"Although You Can Not See Me, I Am Always With You - Personalized Custom Photo Banket - NTD19DEC23TP1",1,0,visible,,"<p style=""margin-left:0px;"">The ultra-soft, silky smooth, lightweight fleece blanket features your art or photography vibrantly printed on one side. Plush &amp; warm enough for an in-home accessory and lightweight enough to take on-the-go!</p><p style=""margin-left:0px;"">Specifications:</p><ul>
<li>Available in two sizes: 30x40in, 50x60in and 60x80in.</li>
<li>Made with 100% soft and silky polyester.</li>
<li>Hemmed edges.</li>
<li>Ultra-high definition, full bleed, photo quality printing.</li>
</ul><p style=""margin-left:0px;"">Care:</p><ul><li>Machine washable, no fading or discoloration.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD19DEC23TP1-ads-1.jpg?v=1702970294,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads-3__7_72e35dbd-2504-4c6b-a489-a5cdf2b7b4f4.jpg?v=1702970294,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads-2__7_64251e1a-1b95-4b38-8821-f28d6c3e1006.jpg?v=1702970294,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads-1__7_308be3a7-b31a-49cc-9ed0-b2cec061aaa4.jpg?v=1702970294",,,,,,,,,0,Size,"Small (30x40in),Medium (50x60in),Large (60x80in)",0,1,Small (30x40in),,,,,,,,,,,
,variation,8977276797248-1,"Although You Can Not See Me, I Am Always With You - Personalized Custom Photo Banket - NTD19DEC23TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD19DEC23TP1-ads-1.jpg?v=1702970294,,,8977276797248,,,,,,1,Size,Small (30x40in),,1,,,,,,,,,,,,
,variation,8977276797248-2,"Although You Can Not See Me, I Am Always With You - Personalized Custom Photo Banket - NTD19DEC23TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD19DEC23TP1-ads-1.jpg?v=1702970294,,,8977276797248,,,,,,2,Size,Medium (50x60in),,1,,,,,,,,,,,,
,variation,8977276797248-3,"Although You Can Not See Me, I Am Always With You - Personalized Custom Photo Banket - NTD19DEC23TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,69.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/NTD19DEC23TP1-ads-1.jpg?v=1702970294,,,8977276797248,,,,,,3,Size,Large (60x80in),,1,,,,,,,,,,,,
,variable,8974586315072,Love You To The Moon And Back Upload Photo Blanket Gift For Daughters VTX15DEC23NY2,1,0,visible,,"<p style=""margin-left:0px;"">The ultra-soft, silky smooth, lightweight fleece blanket features your art or photography vibrantly printed on one side. Plush &amp; warm enough for an in-home accessory and lightweight enough to take on-the-go!</p><p style=""margin-left:0px;"">Specifications:</p><ul>
<li>Available in two sizes: 30x40in, 50x60in and 60x80in.</li>
<li>Made with 100% soft and silky polyester.</li>
<li>Hemmed edges.</li>
<li>Ultra-high definition, full bleed, photo quality printing.</li>
</ul><p style=""margin-left:0px;"">Care:</p><ul><li>Machine washable, no fading or discoloration.</li></ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX15DEC23NY2-ads.jpg?v=1702700860,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads5_e61633b8-967a-4859-a781-ce44d3662875.jpg?v=1702700860,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads4_e58b9981-78bd-4aff-b846-39f7af22752b.jpg?v=1702700860,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/ads3_a6ff60ca-850a-4d3e-8edd-f99d7165f520.jpg?v=1702700860",,,,,,,,,0,Size,"Small (30x40in),Medium (50x60in),Large (60x80in)",0,1,Small (30x40in),,,,,,,,,,,
,variation,8974586315072-1,Love You To The Moon And Back Upload Photo Blanket Gift For Daughters VTX15DEC23NY2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX15DEC23NY2-ads.jpg?v=1702700860,,,8974586315072,,,,,,1,Size,Small (30x40in),,1,,,,,,,,,,,,
,variation,8974586315072-2,Love You To The Moon And Back Upload Photo Blanket Gift For Daughters VTX15DEC23NY2,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/products/VTX15DEC23NY2-ads.jpg?v=1702700860,,,8974586315072,,,,,,2,Size,Medium (50x60in),,1,,,,,,,,,,,,
