ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684428034368,Personalized Weekend Forecast Pet My Dog/Dogs With A Chance Of Drinking Canvas Pht-15Tp052,1,0,visible,,"<p><span>See more products for you here: </span><a href=""https://humancustom.com/pht"" target=""_blank"" title=""Personalized Bar And Grill Canvas, Yard Sign, Flag, Doormat, Shirt, Tee"" rel=""noopener noreferrer"">https://humancustom.com/pht</a></p>
<p>Personalized canvases make great decoration for your interior space with their timeless beauty. If you’re looking for something to innovate your bedroom or living room, this special canvas is the best option for you.</p>
<p><strong>Product details:</strong></p>
<ul>
<li>
<strong>Produced &amp; shipped from USA</strong> <img alt="""" src=""https://familynine.com/wp-content/uploads/2020/02/1f1fa_1f1f8-1.png"" data-mce-src=""https://familynine.com/wp-content/uploads/2020/02/1f1fa_1f1f8-1.png"">
</li>
<li>Printed with UL Certified GREENGUARD GOLD Ink - reduces indoor air pollution and the risk of chemical exposure.</li>
<li><em>Water resistant matte finish - will not scratch, crack, fade or warp.</em></li>
<li><em>Anti-yellowing, will not oxidize.</em></li>
<li>
<em>Finger jointed, kiln dried stretcher bar is </em>1.25"" depth.</li>
<li>Stretcher bar is FSC certified from sustainable forests, knot, sap, and warp free.</li>
<li>Ready to hang - arrives with pre-installed sawtooth hanging hardware.</li>
<li>Rubber bumpers – protects wall surface and keeps print level.</li>
</ul>
<p><em>Care</em></p>
<ul>
<li>Clean with a dry cloth when needed.</li>
</ul>
<p><strong>Personalization:</strong></p>
<ul>
<li>Please fill in the required fields and carefully double-check the spelling</li>
<li>To ensure the best looking, please use standard English only and exclude special characters</li>
<li>The last step, click ""Preview Your Personalization"" to get a glimpse of the wonderful creation you've made</li>
</ul>
<p>Don’t miss out on this perfect canvas, SHOP NOW!</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP052-ads.jpg?v=1694749349,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP052-ads-1.jpg?v=1694749424",,,,,,,,,0,Size,"16x24in - Best Seller,24x36in,12x16in,8x12in",0,1,16x24in - Best Seller,,,,,,,,,,,
,variation,8684428034368-1,Personalized Weekend Forecast Pet My Dog/Dogs With A Chance Of Drinking Canvas Pht-15Tp052,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP052-ads.jpg?v=1694749349,,,8684428034368,,,,,,1,Size,16x24in - Best Seller,,1,,,,,,,,,,,,
,variation,8684428034368-2,Personalized Weekend Forecast Pet My Dog/Dogs With A Chance Of Drinking Canvas Pht-15Tp052,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP052-ads.jpg?v=1694749349,,,8684428034368,,,,,,2,Size,24x36in,,1,,,,,,,,,,,,
,variation,8684428034368-3,Personalized Weekend Forecast Pet My Dog/Dogs With A Chance Of Drinking Canvas Pht-15Tp052,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,51.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP052-ads.jpg?v=1694749349,,,8684428034368,,,,,,3,Size,12x16in,,1,,,,,,,,,,,,
,variation,8684428034368-4,Personalized Weekend Forecast Pet My Dog/Dogs With A Chance Of Drinking Canvas Pht-15Tp052,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,44.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP052-ads.jpg?v=1694749349,,,8684428034368,,,,,,4,Size,8x12in,,1,,,,,,,,,,,,
,variable,8684424626496,Personalized Backyard Bar & Grill Dogs Sipping Grilling & Chilling Canvas,1,0,visible,,"<p><span>See more products for you here: </span><a title=""Personalized Backyard Bar"" href=""https://humancustom.com/collections/backyard"" target=""_blank"">https://humancustom.com/collections/backyard</a></p>
<p>Personalized canvases make great decoration for your interior space with their timeless beauty. If you’re looking for something to innovate your bedroom or living room, this special canvas is the best option for you.</p>
<p><strong>Product details:</strong></p>
<ul>
<li>
<strong>Produced &amp; shipped from USA</strong> <img alt="""" src=""https://familynine.com/wp-content/uploads/2020/02/1f1fa_1f1f8-1.png"" data-mce-src=""https://familynine.com/wp-content/uploads/2020/02/1f1fa_1f1f8-1.png"">
</li>
<li>Printed with UL Certified GREENGUARD GOLD Ink - reduces indoor air pollution and the risk of chemical exposure.</li>
<li><em>Water resistant matte finish - will not scratch, crack, fade or warp.</em></li>
<li><em>Anti-yellowing, will not oxidize.</em></li>
<li>
<em>Finger jointed, kiln dried stretcher bar is </em>1.25"" depth.</li>
<li>Stretcher bar is FSC certified from sustainable forests, knot, sap, and warp free.</li>
<li>Ready to hang - arrives with pre-installed sawtooth hanging hardware.</li>
<li>Rubber bumpers – protects wall surface and keeps print level.</li>
</ul>
<p><em>Care</em></p>
<ul>
<li>Clean with a dry cloth when needed.</li>
</ul>
<p><strong>Personalization:</strong></p>
<ul>
<li>Please fill in the required fields and carefully double-check the spelling</li>
<li>To ensure the best looking, please use standard English only and exclude special characters</li>
<li>The last step, click ""Preview Your Personalization"" to get a glimpse of the wonderful creation you've made</li>
</ul>
<p>Don’t miss out on this perfect canvas, SHOP NOW!</p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP009-ads.jpg?v=1694744353,,,,,,,,,0,Size,"16x24in - Best Seller,12x16in,8x12in",0,1,16x24in - Best Seller,,,,,,,,,,,
,variation,8684424626496-1,Personalized Backyard Bar & Grill Dogs Sipping Grilling & Chilling Canvas,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP009-ads.jpg?v=1694744353,,,8684424626496,,,,,,1,Size,16x24in - Best Seller,,1,,,,,,,,,,,,
,variation,8684424626496-2,Personalized Backyard Bar & Grill Dogs Sipping Grilling & Chilling Canvas,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,51.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP009-ads.jpg?v=1694744353,,,8684424626496,,,,,,2,Size,12x16in,,1,,,,,,,,,,,,
,variation,8684424626496-3,Personalized Backyard Bar & Grill Dogs Sipping Grilling & Chilling Canvas,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,44.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/PHT-15TP009-ads.jpg?v=1694744353,,,8684424626496,,,,,,3,Size,8x12in,,1,,,,,,,,,,,,
,variable,8684647743808,When I Say I love You More Canvas HTT-15XT003,1,0,visible,,"<p><em>This high-quality matte canvas can be used to add color and life to any space. Available in 17 different sizes with both vertical and horizontal orientations. The matte canvas features </em>state of the art printing technology for sharp photographic reproduction and color fidelity, will not fade or warp, and <em>comes ready to hang.</em></p>
<p><br></p>
<p><em>Specifications</em></p>
<ul>
  <li>Printed with UL Certified GREENGUARD GOLD Ink - reduces indoor air pollution and the risk of chemical exposure.</li>
  <li><em>Water resistant matte finish - will not scratch, crack, fade or warp.</em></li>
  <li><em>Anti-yellowing, will not oxidize.</em></li>
  <li>
<em>Finger jointed, kiln dried stretcher bar is </em>1.25"" depth.</li>
  <li>Stretcher bar is FSC certified from sustainable forests, knot, sap, and warp free.</li>
  <li>Ready to hang - arrives with pre-installed sawtooth hanging hardware.</li>
  <li>Rubber bumpers – protects wall surface and keeps print level.</li>
</ul>
<p><em>Care</em></p>
<ul>
  <li>Clean with a dry cloth when needed.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-15XT003.ads_2.jpg?v=1699768667,,,,,,,,,0,Size,"8x12in,12x16in,16x24in",0,1,8x12in,,,,,,,,,,,
,variation,8684647743808-1,When I Say I love You More Canvas HTT-15XT003,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,39.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-15XT003.ads_2.jpg?v=1699768667,,,8684647743808,,,,,,1,Size,8x12in,,1,,,,,,,,,,,,
,variation,8684647743808-2,When I Say I love You More Canvas HTT-15XT003,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-15XT003.ads_2.jpg?v=1699768667,,,8684647743808,,,,,,2,Size,12x16in,,1,,,,,,,,,,,,
,variation,8684647743808-3,When I Say I love You More Canvas HTT-15XT003,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,59.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-15XT003.ads_2.jpg?v=1699768667,,,8684647743808,,,,,,3,Size,16x24in,,1,,,,,,,,,,,,
