ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,9391533293888,"Memorial Upload Photo, When You Miss Me Hug This Pillow and Know I'm Here Personalized Heart Shaped Pillow LPL13JUN24TP1",1,0,visible,,"<p style=""margin-left:0px;""><strong>Description</strong></p><ul>
<li>This is a customized product with a customized design.</li>
<li>High-quality material: Made from soft poly velvet suede for cover, smooth, non-fading, and anti-pollution, machine washable. Filled with a poly-fill pillow inside.</li>
<li>Accent piece to create interest in your room or as a functional head pillow.</li>
<li>This fashionable accessory offers great looks and endless comfort.</li>
<li>Serves as beautiful home decor for you or makes a great gift for friends.</li>
<li>Laundry guide:<i> </i>Handwashing pillow in cold water for stronger cleaning.</li>
</ul><p style=""margin-left:0px;""><strong>Features</strong></p><ul>
<li><strong>Material: Microfiber Polyester Fabric</strong></li>
<li>
<strong>Printable area: 1 SIDE</strong><br> </li>
<li><strong>Heart Shape, White-colored backside</strong></li>
<li>
<strong>Size:</strong><br><strong>- 12 x 12 inches</strong><br><strong>- 16 x 16 inches</strong><br><strong>- 18 x 18 inches</strong>
</li>
</ul><p style=""margin-left:0px;""><strong>PERSONALIZATION: </strong></p><ul>
<li>Please complete the fields required to customize options (Name/Characteristics) and <strong>recheck carefully</strong> all the customized options.</li>
<li>Text: Standard English excluding special characters, and emojis to ensure the best look.</li>
<li>Characteristics: Pick one-by-one options that match your description.</li>
<li>In the last step, click ""Preview"" to get a glimpse of the wonderful creation you’ve made ❤️.</li>
</ul><p style=""margin-left:0px;""><strong>Please be aware that the Preview may be slightly different from the physical item in terms of color due to our lighting at our product photoshoot or your device’s display.</strong></p>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL13JUN24TP1-ads-1.jpg?v=1718335827,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-2__3_098d43c1-f738-4ad9-ba0b-274c1cca3e4a.jpg?v=1718335827,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-3__3_1ed1c964-5542-4d05-8e91-adeb18f6f264.jpg?v=1718335827,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-4__3_cb833956-64f2-434a-9ff2-9fad31576e10.jpg?v=1718335827",,,,,,,,,0,Size,"12x12in,16x16IN,18x18in",0,1,12x12in,,,,,,,,,,,
,variation,9391533293888-1,"Memorial Upload Photo, When You Miss Me Hug This Pillow and Know I'm Here Personalized Heart Shaped Pillow LPL13JUN24TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,27.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL13JUN24TP1-ads-1.jpg?v=1718335827,,,9391533293888,,,,,,1,Size,12x12in,,1,,,,,,,,,,,,
,variation,9391533293888-2,"Memorial Upload Photo, When You Miss Me Hug This Pillow and Know I'm Here Personalized Heart Shaped Pillow LPL13JUN24TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,31.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL13JUN24TP1-ads-1.jpg?v=1718335827,,,9391533293888,,,,,,2,Size,16x16IN,,1,,,,,,,,,,,,
,variation,9391533293888-3,"Memorial Upload Photo, When You Miss Me Hug This Pillow and Know I'm Here Personalized Heart Shaped Pillow LPL13JUN24TP1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,35.95,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/LPL13JUN24TP1-ads-1.jpg?v=1718335827,,,9391533293888,,,,,,3,Size,18x18in,,1,,,,,,,,,,,,
,variable,9355257708864,"Memorial Upload Photo Heaven Gate Sky, In Loving Memory Personalized Pillow LPL28MAY24CT1",1,0,visible,,"<p style=""margin-left:0px;"">Add your personalized touch to your bedroom or living room! The canvas pillow features a removable canvas case with zipper enclosure. Colorfast dyed fabric of your image yields unrivaled durability and color vibrancy.</p><p style=""margin-left:0px;"">Specifications:</p><ul>
<li>Colorfast for safe washing.</li>
<li>White-colored backside.</li>
<li>100% polyester filling.</li>
</ul><p style=""margin-left:0px;"">Care:</p><ul>
<li>Use a damp cloth when light cleaning is needed.</li>
<li>Machine or hand wash cover in cold water for stronger cleaning.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_a4ca6f07-a9bb-476a-95b9-66d79c840008.jpg?v=1716950055,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/v2_66dacc31-4f14-4b6f-88c4-ca3550b9f9c1.jpg?v=1716950055,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/v3_b539739e-c587-406b-94ab-e8148b5b568f.jpg?v=1716950055,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/v4_86afe6a2-98ae-4a37-8e10-ac4b4ce78d05.jpg?v=1716950055",,,,,,,,,0,Size,"12x12in,18x18in",0,1,12x12in,,,,,,,,,,,
,variation,9355257708864-1,"Memorial Upload Photo Heaven Gate Sky, In Loving Memory Personalized Pillow LPL28MAY24CT1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_a4ca6f07-a9bb-476a-95b9-66d79c840008.jpg?v=1716950055,,,9355257708864,,,,,,1,Size,12x12in,,1,,,,,,,,,,,,
,variation,9355257708864-2,"Memorial Upload Photo Heaven Gate Sky, In Loving Memory Personalized Pillow LPL28MAY24CT1",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_a4ca6f07-a9bb-476a-95b9-66d79c840008.jpg?v=1716950055,,,9355257708864,,,,,,2,Size,18x18in,,1,,,,,,,,,,,,
,variable,9281656684864,Grandma's reasons to bee happy Personalized Pillow HTN07MAY24KL3,1,0,visible,,"<p style=""margin-left:0px;"">Add your personalized touch to your bedroom or living room! The canvas pillow features a removable canvas case with zipper enclosure. Colorfast dyed fabric of your image yields unrivaled durability and color vibrancy.</p><p style=""margin-left:0px;"">Specifications:</p><ul>
<li>Colorfast for safe washing.</li>
<li>White-colored backside.</li>
<li>100% polyester filling.</li>
</ul><p style=""margin-left:0px;"">Care:</p><ul>
<li>Use a damp cloth when light cleaning is needed.</li>
<li>Machine or hand wash cover in cold water for stronger cleaning.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN07MAY24KL3.png?v=1715069140,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN07MAY24KL3-1.png?v=1715069147,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN07MAY24KL3-2.png?v=1715069154,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTN07MAY24KL3-3.png?v=1715069161",,,,,,,,,0,Size,"12x12in,18x18in",0,1,12x12in,,,,,,,,,,,
,variation,9281656684864-1,Grandma's reasons to bee happy Personalized Pillow HTN07MAY24KL3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.99,,,,,,,9281656684864,,,,,,1,Size,12x12in,,1,,,,,,,,,,,,
,variation,9281656684864-2,Grandma's reasons to bee happy Personalized Pillow HTN07MAY24KL3,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,,,,9281656684864,,,,,,2,Size,18x18in,,1,,,,,,,,,,,,
