ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8685404193088,Upload Photo Valentine Best Gift For Husband Wife Old Book Wedding Gift Vintage Poster HLD22DEC22LG1,1,0,visible,,"<p style=""margin-left:0px;"">POSTER PRINT DETAILS:</p><ul>
<li>High-quality Poster. Produced &amp; shipped from USA</li>
<li>High-quality resin-coated photo base papes</li>
<li>Has a basis weight of 260 gsm and a thickness of 10 mil which provides a durable photo feel.</li>
<li>Vivid, lifelike images are similar to traditional silver halide prints. Premium Luster Photo Paper delivers highly saturated prints with high ink absorption rates and a wide color gamut.</li>
<li>Shipped in protective tube</li>
<li>Last up to 200 years color and 400 years black-and-white<br> </li>
</ul><p style=""margin-left:0px;"">All of our Posters are custom-made to order and handcrafted to the highest quality standards.</p><p style=""margin-left:0px;""><strong>Poster Shipping Time</strong></p><p style=""margin-left:0px;"">- US: Delivered within 5-7 business days</p><p style=""margin-left:0px;"">- Australia, Canada, United Kingdom, Europe: Delivered within 6-10 business days</p><p style=""margin-left:0px;""><strong>Contact us:</strong></p><p style=""margin-left:0px;"">Feel free to email us at <strong>customer@humancustom.com</strong>anytime between 9 AM - 5 PM PST, Monday through Saturday. We’ll respond to your inquiry as soon as we can — typically within 24 to 48 hours.</p><figure class=""image""><img src=""https://familynine.com/wp-content/uploads/2020/02/1f1fa_1f1f8-1.png"" alt=""""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_2dabfaf3-4d92-4913-9348-cf73f08194e6.jpg?v=1714512685,,,,,,,,,0,Size,"24x16in - Best Seller,36x24in,16x12in,12x8in",0,1,24x16in - Best Seller,,,,,,,,,,,
,variation,8685404193088-1,Upload Photo Valentine Best Gift For Husband Wife Old Book Wedding Gift Vintage Poster HLD22DEC22LG1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_2dabfaf3-4d92-4913-9348-cf73f08194e6.jpg?v=1714512685,,,8685404193088,,,,,,1,Size,24x16in - Best Seller,,1,,,,,,,,,,,,
,variation,8685404193088-2,Upload Photo Valentine Best Gift For Husband Wife Old Book Wedding Gift Vintage Poster HLD22DEC22LG1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_2dabfaf3-4d92-4913-9348-cf73f08194e6.jpg?v=1714512685,,,8685404193088,,,,,,2,Size,36x24in,,1,,,,,,,,,,,,
,variation,8685404193088-3,Upload Photo Valentine Best Gift For Husband Wife Old Book Wedding Gift Vintage Poster HLD22DEC22LG1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_2dabfaf3-4d92-4913-9348-cf73f08194e6.jpg?v=1714512685,,,8685404193088,,,,,,3,Size,16x12in,,1,,,,,,,,,,,,
,variation,8685404193088-4,Upload Photo Valentine Best Gift For Husband Wife Old Book Wedding Gift Vintage Poster HLD22DEC22LG1,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,19.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/ads-1__1_2dabfaf3-4d92-4913-9348-cf73f08194e6.jpg?v=1714512685,,,8685404193088,,,,,,4,Size,12x8in,,1,,,,,,,,,,,,
,variable,8685987496256,"It's a beautiful Day to save lives - Personalized Poster Couple Portrait, Firefighter, EMS, Nurse, Police Officer, Military NVL06SEP23KL2",1,0,visible,,"<p style=""margin-left:0px;"">POSTER PRINT DETAILS:</p><ul>
<li>High-quality Poster. Produced &amp; shipped from USA</li>
<li>High-quality resin-coated photo base papes</li>
<li>Has a basis weight of 260 gsm and a thickness of 10 mil which provides a durable photo feel.</li>
<li>Vivid, lifelike images are similar to traditional silver halide prints. Premium Luster Photo Paper delivers highly saturated prints with high ink absorption rates and a wide color gamut.</li>
<li>Shipped in protective tube</li>
<li>Last up to 200 years color and 400 years black-and-white<br> </li>
</ul><p style=""margin-left:0px;"">All of our Posters are custom-made to order and handcrafted to the highest quality standards.</p><p style=""margin-left:0px;""><strong>Poster Shipping Time</strong></p><p style=""margin-left:0px;"">- US: Delivered within 5-7 business days</p><p style=""margin-left:0px;"">- Australia, Canada, United Kingdom, Europe: Delivered within 6-10 business days</p><p style=""margin-left:0px;""><strong>Contact us:</strong></p><p style=""margin-left:0px;"">Feel free to email us at <strong>customer@humancustom.com</strong>anytime between 9 AM - 5 PM PST, Monday through Saturday. We’ll respond to your inquiry as soon as we can — typically within 24 to 48 hours.</p><figure class=""image""><img src=""https://familynine.com/wp-content/uploads/2020/02/1f1fa_1f1f8-1.png"" alt=""""></figure>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,"https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads.jpg?v=1694759421,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads-2.jpg?v=1694759422,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads-2.jpg-3.jpg?v=1694759421,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads-2.jpg-4.jpg?v=1694759422",,,,,,,,,0,Size,"24x16in - Best Seller,36x24in,16x12in,12x8in",0,1,24x16in - Best Seller,,,,,,,,,,,
,variation,8685987496256-1,"It's a beautiful Day to save lives - Personalized Poster Couple Portrait, Firefighter, EMS, Nurse, Police Officer, Military NVL06SEP23KL2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,29.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads.jpg?v=1694759421,,,8685987496256,,,,,,1,Size,24x16in - Best Seller,,1,,,,,,,,,,,,
,variation,8685987496256-2,"It's a beautiful Day to save lives - Personalized Poster Couple Portrait, Firefighter, EMS, Nurse, Police Officer, Military NVL06SEP23KL2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,34.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads.jpg?v=1694759421,,,8685987496256,,,,,,2,Size,36x24in,,1,,,,,,,,,,,,
,variation,8685987496256-3,"It's a beautiful Day to save lives - Personalized Poster Couple Portrait, Firefighter, EMS, Nurse, Police Officer, Military NVL06SEP23KL2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,24.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads.jpg?v=1694759421,,,8685987496256,,,,,,3,Size,16x12in,,1,,,,,,,,,,,,
,variation,8685987496256-4,"It's a beautiful Day to save lives - Personalized Poster Couple Portrait, Firefighter, EMS, Nurse, Police Officer, Military NVL06SEP23KL2",1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,19.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/NVL06SEP23KL2-ads.jpg?v=1694759421,,,8685987496256,,,,,,4,Size,12x8in,,1,,,,,,,,,,,,
