ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin
,variable,8684574146880,Welcome To The Dogs House Live Here Personalized Wood Sign Htt-31Xt001,1,0,visible,,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Our Wood Sign are made from natural birch plywood</li>
<li data-mce-fragment=""1"">Size: 12x12 inches (30x30 cm)</li>
<li data-mce-fragment=""1"">Patterns are printed.</li>
<li data-mce-fragment=""1"">Available in the US only.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT001-ads.jpg?v=1697172718,,,,,,,,,0,Size,30x30cm,0,1,30x30cm,,,,,,,,,,,
,variation,8684574146880-1,Welcome To The Dogs House Live Here Personalized Wood Sign Htt-31Xt001,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT001-ads.jpg?v=1697172718,,,8684574146880,,,,,,1,Size,30x30cm,,1,,,,,,,,,,,,
,variable,8684574409024,Personalized Viking Couple Live Here Wood Sign Htt-31Xt005,1,0,visible,,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Our Wood Sign are made from natural birch plywood</li>
<li data-mce-fragment=""1"">Size: 12x12 inches (30x30 cm)</li>
<li data-mce-fragment=""1"">Patterns are printed.</li>
<li data-mce-fragment=""1"">Available in the US only.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT005-ads.jpg?v=1697173165,,,,,,,,,0,Size,30x30cm,0,1,30x30cm,,,,,,,,,,,
,variation,8684574409024-1,Personalized Viking Couple Live Here Wood Sign Htt-31Xt005,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT005-ads.jpg?v=1697173165,,,8684574409024,,,,,,1,Size,30x30cm,,1,,,,,,,,,,,,
,variable,8684574507328,Personalized Veteran Couple Live Here Wood Sign Htt-31Xt002,1,0,visible,,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Our Wood Sign are made from natural birch plywood</li>
<li data-mce-fragment=""1"">Size: 12x12 inches (30x30 cm)</li>
<li data-mce-fragment=""1"">Patterns are printed.</li>
<li data-mce-fragment=""1"">Available in the US only.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT002-ads.jpg?v=1697166906,,,,,,,,,0,Size,30x30cm,0,1,30x30cm,,,,,,,,,,,
,variation,8684574507328-1,Personalized Veteran Couple Live Here Wood Sign Htt-31Xt002,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT002-ads.jpg?v=1697166906,,,8684574507328,,,,,,1,Size,30x30cm,,1,,,,,,,,,,,,
,variable,8684574736704,Personalized Trucker Couple Live Here Wood Sign Htt-31Xt003,1,0,visible,,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Our Wood Sign are made from natural birch plywood</li>
<li data-mce-fragment=""1"">Size: 12x12 inches (30x30 cm)</li>
<li data-mce-fragment=""1"">Patterns are printed.</li>
<li data-mce-fragment=""1"">Available in the US only.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT003-ads.jpg?v=1697168270,,,,,,,,,0,Size,30x30cm,0,1,30x30cm,,,,,,,,,,,
,variation,8684574736704-1,Personalized Trucker Couple Live Here Wood Sign Htt-31Xt003,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT003-ads.jpg?v=1697168270,,,8684574736704,,,,,,1,Size,30x30cm,,1,,,,,,,,,,,,
,variable,8684575326528,Personalized Biker Couple Live Here Wood Sign Htt-31Xt004,1,0,visible,,"<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Our Wood Sign are made from natural birch plywood</li>
<li data-mce-fragment=""1"">Size: 12x12 inches (30x30 cm)</li>
<li data-mce-fragment=""1"">Patterns are printed.</li>
<li data-mce-fragment=""1"">Available in the US only.</li>
</ul>",,,taxable,,1,,,0,0,,,,,1,,,,Uncategorized,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT004-ads.jpg?v=1697177296,,,,,,,,,0,Size,30x30cm,0,1,30x30cm,,,,,,,,,,,
,variation,8684575326528-1,Personalized Biker Couple Live Here Wood Sign Htt-31Xt004,1,0,visible,,,,,taxable,parent,1,,,,0,,,,,0,,,49.99,,,,https://cdn.shopify.com/s/files/1/0831/0528/4416/files/HTT-31XT004-ads.jpg?v=1697177296,,,8684575326528,,,,,,1,Size,30x30cm,,1,,,,,,,,,,,,
